lengthscale l2regularizer rmse_mean rmse_std

0.45 0.15 0.8843557 0.50379187
0.45 0.3 0.87231743 0.51835674
0.4 0.8 0.91777956 0.4829431
0.4 0.7 0.9022978 0.49378347
0.45 0.05 0.88375807 0.5059274
0.4 0.5 0.8738397 0.520718
0.45 0.2 0.88531697 0.50742716
0.4 0.85 0.92320776 0.48414877
0.4 0.9 0.9135699 0.49020317
0.4 0.55 0.87996423 0.5106274
0.45 0.35 0.8777234 0.51214004
0.4 1.0 0.9205265 0.4885295
0.4 0.65 0.8826621 0.5108389
0.45 0.4 0.8741683 0.5181816
0.4 0.95 0.9169955 0.48309803
0.4 0.75 0.9164488 0.48595187
0.45 0.1 0.88981056 0.5015847
0.85 0.15 0.96030504 0.4777862
0.85 0.2 0.96783656 0.48105875
0.4 0.6 0.8828061 0.5098321
0.85 0.35 0.9607938 0.47753322
0.45 0.25 0.8764437 0.50945365
0.1 0.35 1.0469055 0.52734756
0.1 0.6 1.0760907 0.5494022
0.8 0.95 0.96489507 0.47407752
0.2 0.95 0.88949424 0.3482222
0.15 0.55 0.9448389 0.31469515
0.15 0.35 0.9537079 0.31178457
0.25 0.75 0.8105389 0.32743007
0.15 0.2 0.9655324 0.3244161
0.25 0.8 0.81152165 0.32921386
0.25 0.85 0.810458 0.3288546
0.15 0.7 0.93428373 0.3061932
0.85 0.05 0.9631435 0.48093313
0.25 0.35 0.8076769 0.31030324
0.15 0.5 0.94838524 0.31256238
0.25 0.65 0.81411827 0.32353997
0.05 0.75 1.1360518 0.5318974
0.2 1.0 0.875367 0.33997405
0.2 0.2 0.86377156 0.33098102
0.25 0.7 0.8107964 0.3280256
0.2 0.45 0.90146506 0.33504725
0.2 0.8 0.890139 0.34716317
0.15 0.45 0.95023507 0.31146336
0.15 0.75 0.92052555 0.294097
0.15 0.4 0.94673026 0.3053598
0.2 0.35 0.9065918 0.34074882
0.85 0.3 0.9618021 0.47745082
0.15 0.9 0.9086353 0.28979683
0.25 0.45 0.970183 0.6382069
0.15 0.6 0.94026595 0.30831617
0.2 0.9 0.91150653 0.3481321
0.2 0.75 0.923209 0.3569884
0.25 0.05 0.81735736 0.29899848
0.15 1.0 0.8917719 0.27728838
0.15 0.3 0.95970154 0.31690353
0.2 0.15 0.85994834 0.32715493
0.25 0.15 0.7898406 0.31936902
0.2 0.7 0.93282235 0.36646912
0.1 0.4 1.0832317 0.55600554
0.2 0.25 0.86320955 0.32951313
0.05 0.95 1.1310406 0.53234464
0.2 0.1 0.87043905 0.33314416
0.2 0.5 0.88366234 0.3337986
0.05 0.8 1.1333792 0.541164
0.25 0.25 0.8022938 0.30955088
0.05 0.7 1.1360546 0.5449914
0.2 0.85 0.8982709 0.35504535
0.2 0.6 0.9186393 0.35471222
0.15 0.8 0.9353941 0.31378043
0.05 0.9 1.1266687 0.5347226
0.15 0.25 0.9432503 0.3039097
0.1 0.15 1.0612015 0.52925926
0.1 0.7 1.0949252 0.57174724
0.1 0.45 1.0937015 0.56405467
0.05 1.0 1.1111042 0.5299478
0.1 0.65 1.0608046 0.5473874
0.85 0.6 0.96253395 0.47597823
0.85 0.65 0.9604405 0.47605377
0.05 0.15 1.1494805 0.5347702
0.85 0.1 0.9647521 0.4818019
0.8 1.0 0.949468 0.4681346
0.85 0.75 0.9611847 0.47551724
0.05 0.3 1.1595578 0.53500825
0.85 0.55 0.96285534 0.47613937
0.1 0.2 1.0565251 0.52799124
0.05 0.55 1.1126549 0.53746104
0.05 0.4 1.1486334 0.5464309
0.85 0.7 0.9587923 0.47470793
0.05 0.6 1.1325078 0.5317363
0.85 0.45 0.9637267 0.47707582
0.05 0.2 1.156613 0.540239
0.05 0.45 1.1491483 0.54847866
0.85 0.5 0.96356887 0.47647893
0.05 0.5 1.1429769 0.5494554
0.05 0.25 1.1602589 0.5435717
0.25 0.6 0.80532044 0.32862085
0.2 0.4 0.8728172 0.33827206
0.9 0.05 0.95837545 0.4788634
0.85 0.85 0.9594386 0.47425613
0.2 0.05 0.84943867 0.333017
0.05 0.05 1.1102893 0.523206
0.25 0.5 0.81389177 0.31695953
0.25 0.3 0.8127187 0.30534077
0.85 0.9 0.95968914 0.47391388
0.2 0.65 0.91566885 0.35089806
0.15 0.95 0.9152133 0.29928383
0.25 0.4 0.969176 0.63756865
0.8 0.85 0.94977343 0.46913153
0.05 0.35 1.1457477 0.537666
0.15 0.65 0.94219244 0.32139805
0.2 0.55 0.89848363 0.35611543
0.9 0.15 0.9620184 0.47961056
0.85 1.0 0.9592024 0.47305608
0.85 0.95 0.95966375 0.4732989
0.2 0.3 0.8739395 0.32636017
0.25 0.2 0.82032025 0.30308816
0.9 0.1 0.96151054 0.47835642
0.85 0.25 0.96725255 0.48051703
0.1 0.75 1.049574 0.54081416
0.25 0.1 0.8181974 0.29682738
0.15 0.85 0.9048212 0.28231564
0.9 0.35 0.96188134 0.4753087
0.1 0.9 1.0701474 0.55993557
0.85 0.4 0.9637173 0.47694203
0.1 0.85 1.0824016 0.58248854
0.9 0.3 0.96221 0.47831964
0.05 0.65 1.1309335 0.5419554
0.15 0.05 0.95611316 0.3139527
0.15 0.15 0.9432499 0.30492374
0.9 0.25 0.96179044 0.477258
0.1 0.95 1.0639815 0.5674518
0.1 1.0 1.0593572 0.5611338
0.15 0.1 0.96308297 0.3255897
0.1 0.8 1.0707998 0.5584599
0.1 0.55 1.0765345 0.5531415
0.1 0.5 1.0585567 0.536257
0.05 0.1 1.1641806 0.54154587
0.35 0.4 0.8738394 0.51431984
0.35 0.75 0.92200774 0.49182412
0.1 0.25 1.0464646 0.5088122
0.35 0.35 0.8730488 0.52521634
0.35 0.6 0.8698826 0.5222859
0.3 0.1 0.8607972 0.51904076
0.4 0.05 0.87854135 0.5170464
0.3 0.95 0.89873344 0.59176713
0.4 0.1 0.89131594 0.5046234
0.35 0.65 0.90910196 0.4918053
0.05 0.85 1.1306022 0.5347575
0.3 0.9 0.8979639 0.5887819
0.35 0.7 0.8976825 0.50266075
0.35 1.0 0.94380295 0.48927122
0.35 0.95 0.94499475 0.48318478
0.3 1.0 0.89356196 0.5822136
0.35 0.05 0.8834082 0.5051895
0.3 0.85 0.9019245 0.57616585
0.65 0.75 0.8980812 0.48084146
0.35 0.9 0.94472027 0.48415464
0.5 0.2 0.8953811 0.49595603
0.5 0.5 0.8750044 0.5160839
0.65 0.4 0.9277889 0.4710643
0.3 0.45 0.8772365 0.5480365
0.65 0.85 0.930025 0.47145593
0.5 0.15 0.88543147 0.50041324
0.3 0.3 0.8695076 0.55579376
0.65 0.8 0.8993613 0.48012686
0.55 0.9 0.88872397 0.4903167
0.7 0.2 0.95906955 0.47561666
0.5 0.7 0.8729288 0.5138151
0.4 0.3 0.86984694 0.51884735
0.6 0.5 0.90127885 0.48130733
0.45 0.6 0.87666976 0.51718074
0.55 0.8 0.89090365 0.4894872
0.5 0.65 0.8725427 0.5138225
0.6 0.65 0.89694345 0.4826745
0.3 0.8 0.9003766 0.5816861
0.5 0.45 0.87639064 0.51581764
0.35 0.45 0.8696911 0.5266418
0.5 0.85 0.8725427 0.5113534
0.4 0.25 0.8740696 0.5182384
0.35 0.15 0.88923514 0.50342166
0.65 0.6 0.897735 0.48092738
0.3 0.65 0.89924014 0.5726024
0.3 0.5 0.89068395 0.5507748
0.65 0.7 0.89863265 0.480441
0.4 0.2 0.8842619 0.5116341
0.55 0.6 0.8870775 0.49949652
0.65 0.9 0.89976394 0.47992787
0.35 0.8 0.9282638 0.49206668
0.65 0.1 0.9239467 0.47022128
0.3 0.25 0.8758561 0.51732725
0.6 0.35 0.9042783 0.48105037
0.4 0.35 0.8735773 0.51904786
0.55 0.5 0.8887044 0.49522132
0.6 0.6 0.89960366 0.48124832
0.55 0.7 0.88771325 0.49312273
0.65 0.35 0.9008064 0.47910124
0.5 0.1 0.87913626 0.5021951
0.6 0.15 0.90116274 0.4818118
0.3 0.7 0.89136827 0.5562358
0.5 0.95 0.88281935 0.49826747
0.65 0.45 0.89694965 0.4816778
0.55 0.55 0.885255 0.5024412
0.6 0.55 0.90284634 0.47938854
