lengthscale l2regularizer rmse_mean
12.0 11.0 1.991654
12.0 12.0 1.992778
12.0 13.0 1.993909
12.0 14.0 1.994275
12.0 15.0 1.995813
12.0 16.0 1.997688
12.0 17.0 1.999576
12.0 18.0 2.001673
12.0 19.0 2.003766
12.0 20.0 2.006481
13.0  1.0 2.000696
13.0  2.0 1.993408
13.0  3.0 1.990310
13.0  4.0 1.988790
13.0  5.0 1.988172
13.0  6.0 1.988443
13.0  7.0 1.988360
13.0  8.0 1.988904
13.0  9.0 1.989380
13.0 10.0 1.990187
13.0 11.0 1.991556
13.0 12.0 1.992169
13.0 13.0 1.993068
13.0 14.0 1.994142
13.0 15.0 1.995781
13.0 16.0 1.997649
13.0 17.0 1.999552
13.0 18.0 2.001621
13.0 19.0 2.003747
13.0 20.0 2.006763
14.0  1.0 2.001017
14.0  2.0 1.992714
14.0  3.0 1.989464
14.0  4.0 1.988377
14.0  5.0 1.988325
14.0  6.0 1.987834
14.0  7.0 1.988246
14.0  8.0 1.988710
14.0  9.0 1.989341
14.0 10.0 1.990031
14.0 11.0 1.991630
14.0 12.0 1.992172
14.0 13.0 1.993078
14.0 14.0 1.994112
14.0 15.0 1.995688
14.0 16.0 1.997629
14.0 17.0 1.999531
14.0 18.0 2.001708
14.0 19.0 2.003733
14.0 20.0 2.006748
15.0  1.0 1.998831
15.0  2.0 1.991906
15.0  3.0 1.988857
15.0  4.0 1.988444
15.0  5.0 1.987858
15.0  6.0 1.988007
15.0  7.0 1.988187
15.0  8.0 1.988680
15.0  9.0 1.989433
15.0 10.0 1.990339
15.0 11.0 1.990708
15.0 12.0 1.992150
15.0 13.0 1.993279
15.0 14.0 1.994098
15.0 15.0 1.995668
15.0 16.0 1.997612
15.0 17.0 1.999498
15.0 18.0 2.001594
15.0 19.0 2.003722
15.0 20.0 2.006735
16.0  1.0 1.998386
16.0  2.0 1.991471
16.0  3.0 1.988911
16.0  4.0 1.987798
16.0  5.0 1.987703
16.0  6.0 1.987764
16.0  7.0 1.988959
16.0  8.0 1.988666
16.0  9.0 1.989225
16.0 10.0 1.989736
16.0 11.0 1.991277
16.0 12.0 1.992195
16.0 13.0 1.993325
16.0 14.0 1.994077
16.0 15.0 1.995650
16.0 16.0 1.997598
16.0 17.0 1.999486
16.0 18.0 2.001643
16.0 19.0 2.003712
16.0 20.0 2.006482
17.0  1.0 1.997472
17.0  2.0 1.990712
17.0  3.0 1.988808
17.0  4.0 1.987880
17.0  5.0 1.987836
17.0  6.0 1.988137
17.0  7.0 1.987959
17.0  8.0 1.989421
17.0  9.0 1.989361
17.0 10.0 1.990144
17.0 11.0 1.990557
17.0 12.0 1.992171
17.0 13.0 1.993331
17.0 14.0 1.994108
17.0 15.0 1.995626
17.0 16.0 1.997586
17.0 17.0 1.999475
17.0 18.0 2.001634
17.0 19.0 2.003706
17.0 20.0 2.006766
18.0  1.0 1.996344
18.0  2.0 1.990499
18.0  3.0 1.988350
18.0  4.0 1.987953
18.0  5.0 1.987919
18.0  6.0 1.987864
18.0  7.0 1.987912
18.0  8.0 1.989395
18.0  9.0 1.989429
18.0 10.0 1.990232
18.0 11.0 1.991432
18.0 12.0 1.992197
18.0 13.0 1.993375
18.0 14.0 1.994082
18.0 15.0 1.995626
18.0 16.0 1.997631
18.0 17.0 1.999469
18.0 18.0 2.001626
18.0 19.0 2.003701
18.0 20.0 2.006473
19.0  1.0 1.996207
19.0  2.0 1.990387
19.0  3.0 1.987870
19.0  4.0 1.987418
19.0  5.0 1.987809
19.0  6.0 1.988041
19.0  7.0 1.987902
19.0  8.0 1.988547
19.0  9.0 1.988641
19.0 10.0 1.990338
19.0 11.0 1.991086
19.0 12.0 1.991922
19.0 13.0 1.993390
19.0 14.0 1.994084
19.0 15.0 1.995606
19.0 16.0 1.997817
19.0 17.0 1.999456
19.0 18.0 2.001618
19.0 19.0 2.003696
19.0 20.0 2.006468
20.0  1.0 1.996137
20.0  2.0 1.989643
20.0  3.0 1.988199
20.0  4.0 1.987517
20.0  5.0 1.987598
20.0  6.0 1.987648
20.0  7.0 1.987872
20.0  8.0 1.988583
20.0  9.0 1.989100
20.0 10.0 1.990313
20.0 11.0 1.991140
20.0 12.0 1.991909
20.0 13.0 1.993388
20.0 14.0 1.994104
20.0 15.0 1.995607
20.0 16.0 1.997812
20.0 17.0 1.999456
20.0 18.0 2.001682
20.0 19.0 2.003692
20.0 20.0 2.006809 1.0  1.0 0.901480 0.901480 0.919885 0.893059 0.945146
 1.0  2.0 0.901480 0.901480 0.914861 0.892809 0.924079
 1.0  3.0 0.901480 0.901480 0.910664 0.894846 0.914916
 1.0  4.0 0.901480 0.901480 0.908860 0.896613 0.910970
 1.0  5.0 0.901480 0.901480 0.906553 0.896418 0.909181
 1.0  6.0 0.901480 0.901480 0.903936 0.897427 0.908456
 1.0  7.0 0.901480 0.901480 0.902100 0.896644 0.907254
 1.0  8.0 0.901480 0.901480 0.900533 0.896402 0.907689
 1.0  9.0 0.901480 0.901480 0.899063 0.894936 0.908073
 1.0 10.0 0.901480 0.901480 0.897814 0.894134 0.909452
 1.0 11.0 0.901480 0.901480 0.896598 0.893226 0.911180
 1.0 12.0 0.901480 0.901480 0.895311 0.891888 0.913875
 1.0 13.0 0.901480 0.901480 0.894508 0.891433 0.917032
 1.0 14.0 0.901480 0.901480 0.892934 0.890042 0.921108
 1.0 15.0 0.901480 0.901480 0.892408 0.889236 0.926631
 1.0 16.0 0.901480 0.901480 0.891409 0.888387 0.932059
 1.0 17.0 0.901480 0.901480 0.891251 0.888294 0.938539
 1.0 18.0 0.901480 0.901480 0.889871 0.887396 0.946627
 1.0 19.0 0.901480 0.901480 0.889828 0.886730 0.955859
 1.0 20.0 0.901480 0.901480 0.889359 0.886795 0.967078
 2.0  1.0 0.901480 0.901480 0.908858 0.897923 0.909743
 2.0  2.0 0.901480 0.901480 0.904466 0.900129 0.906632
 2.0  3.0 0.901480 0.901480 0.901354 0.898845 0.900817
 2.0  4.0 0.901480 0.901480 0.899437 0.896611 0.896872
 2.0  5.0 0.901480 0.901480 0.896373 0.893643 0.895118
 2.0  6.0 0.901480 0.901480 0.894671 0.892250 0.893398
 2.0  7.0 0.901480 0.901480 0.893043 0.890186 0.892617
 2.0  8.0 0.901480 0.901480 0.891483 0.888763 0.892115
 2.0  9.0 0.901480 0.901480 0.889567 0.887390 0.892489
 2.0 10.0 0.901480 0.901480 0.888376 0.886196 0.892203
 2.0 11.0 0.901480 0.901480 0.887100 0.885259 0.894056
 2.0 12.0 0.901480 0.901480 0.886488 0.884578 0.894511
 2.0 13.0 0.901480 0.901480 0.885632 0.883911 0.896975
 2.0 14.0 0.901480 0.901480 0.885050 0.883127 0.900521
 2.0 15.0 0.901480 0.901480 0.884514 0.882444 0.903910
 2.0 16.0 0.901480 0.901480 0.884110 0.882331 0.907277
 2.0 17.0 0.901480 0.901480 0.883659 0.881662 0.912086
 2.0 18.0 0.901480 0.901480 0.883508 0.881410 0.917025
 2.0 19.0 0.908904 0.908904 0.890067 0.887246 0.932214
 2.0 20.0 0.908904 0.908904 0.889996 0.887733 0.941125
 3.0  1.0 0.901480 0.901480 0.904529 0.902136 0.913370
 3.0  2.0 0.901480 0.901480 0.901072 0.899305 0.899160
 3.0  3.0 0.901480 0.901480 0.897475 0.895733 0.894319
 3.0  4.0 0.901480 0.901480 0.894370 0.892667 0.891168
 3.0  5.0 0.901480 0.901480 0.891716 0.889383 0.889096
 3.0  6.0 0.901480 0.901480 0.889247 0.887430 0.888616
 3.0  7.0 0.901480 0.901480 0.888044 0.885679 0.887456
 3.0  8.0 0.901480 0.901480 0.886544 0.883984 0.887486
 3.0  9.0 0.901480 0.901480 0.885589 0.883542 0.888443
 3.0 10.0 0.901480 0.901480 0.884410 0.882984 0.888855
 3.0 11.0 0.901480 0.901480 0.883884 0.882315 0.890306
 3.0 12.0 0.904425 0.904425 0.884708 0.883180 0.892811
 3.0 13.0 0.904425 0.904425 0.884387 0.882797 0.896003
 3.0 14.0 0.904425 0.904425 0.883784 0.882763 0.898261
 3.0 15.0 0.904425 0.904425 0.883530 0.882453 0.902073
 3.0 16.0 0.904425 0.904425 0.883724 0.882339 0.905435
 3.0 17.0 0.904425 0.904425 0.883195 0.882079 0.909540
 3.0 18.0 0.904425 0.904425 0.883053 0.881239 0.915285
 3.0 19.0 0.904425 0.904425 0.883296 0.881676 0.922181
 3.0 20.0 0.904425 0.904425 0.882698 0.881791 0.931619
 4.0  1.0 0.904425 0.904425 0.904403 0.904601 0.908082
 4.0  2.0 0.904425 0.904425 0.899670 0.899336 0.897312
 4.0  3.0 0.904425 0.904425 0.895693 0.894474 0.893062
 4.0  4.0 0.904425 0.904425 0.892304 0.889764 0.889718
 4.0  5.0 0.904425 0.904425 0.889761 0.887302 0.887684
 4.0  6.0 0.904425 0.904425 0.888123 0.885347 0.886409
 4.0  7.0 0.904425 0.904425 0.886665 0.884457 0.886789
 4.0  8.0 0.904425 0.904425 0.885461 0.883542 0.887115
 4.0  9.0 0.904425 0.904425 0.885178 0.883277 0.887856
 4.0 10.0 0.901480 0.901480 0.882717 0.881571 0.887377
 4.0 11.0 0.901480 0.901480 0.882348 0.881333 0.888360
 4.0 12.0 0.904425 0.904425 0.883267 0.882481 0.891833
 4.0 13.0 0.904425 0.904425 0.883244 0.882064 0.895155
 4.0 14.0 0.904425 0.904425 0.882838 0.881816 0.896876
 4.0 15.0 0.904425 0.904425 0.882572 0.881920 0.900598
 4.0 16.0 0.904425 0.904425 0.882949 0.881756 0.904446
 4.0 17.0 0.904425 0.904425 0.882533 0.881673 0.909177
 4.0 18.0 0.904425 0.904425 0.882445 0.881421 0.914311
 4.0 19.0 0.904425 0.904425 0.882495 0.881960 0.921386
 4.0 20.0 0.904425 0.904425 0.882027 0.881397 0.930179
 5.0  1.0 0.904425 0.904425 0.903461 0.903653 0.906261
 5.0  2.0 0.904425 0.904425 0.898089 0.896689 0.894334
 5.0  3.0 0.904425 0.904425 0.892743 0.890864 0.890011
 5.0  4.0 0.901480 0.901480 0.888056 0.885863 0.885366
 5.0  5.0 0.901480 0.901480 0.885842 0.884567 0.884970
 5.0  6.0 0.901480 0.901480 0.884443 0.882717 0.884710
 5.0  7.0 0.901480 0.901480 0.883342 0.882247 0.884123
 5.0  8.0 0.901480 0.901480 0.883091 0.881472 0.884881
 5.0  9.0 0.901480 0.901480 0.882324 0.881199 0.886353
 5.0 10.0 0.901480 0.901480 0.881893 0.880663 0.886848
 5.0 11.0 0.901480 0.901480 0.881457 0.880808 0.888277
 5.0 12.0 0.901480 0.901480 0.881266 0.880559 0.890094
 5.0 13.0 0.901480 0.901480 0.881258 0.880642 0.892117
 5.0 14.0 0.901480 0.901480 0.880664 0.880430 0.894790
 5.0 15.0 0.901480 0.901480 0.880678 0.880034 0.897856
 5.0 16.0 0.901480 0.901480 0.880820 0.880111 0.901801
 5.0 17.0 0.901480 0.901480 0.880682 0.879836 0.905810
 5.0 18.0 0.901480 0.901480 0.880500 0.879923 0.911631
 5.0 19.0 0.901480 0.901480 0.880432 0.880135 0.918319
 5.0 20.0 0.901480 0.901480 0.880444 0.879731 0.926526
 6.0  1.0 0.904425 0.904425 0.902211 0.902665 0.904168
 6.0  2.0 0.901480 0.901480 0.893974 0.892650 0.889089
 6.0  3.0 0.901480 0.901480 0.889185 0.887258 0.885987
 6.0  4.0 0.901480 0.901480 0.886208 0.884655 0.884689
 6.0  5.0 0.901480 0.901480 0.884443 0.882676 0.884150
 6.0  6.0 0.901480 0.901480 0.883080 0.882169 0.883716
 6.0  7.0 0.901480 0.901480 0.882340 0.881377 0.883864
 6.0  8.0 0.901480 0.901480 0.882504 0.881329 0.884309
 6.0  9.0 0.901480 0.901480 0.881767 0.880693 0.885151
 6.0 10.0 0.901480 0.901480 0.881327 0.880445 0.886546
 6.0 11.0 0.901480 0.901480 0.880972 0.880381 0.887870
 6.0 12.0 0.901480 0.901480 0.880959 0.880431 0.889893
 6.0 13.0 0.901480 0.901480 0.880684 0.880530 0.891903
 6.0 14.0 0.901480 0.901480 0.880404 0.880315 0.894829
 6.0 15.0 0.901480 0.901480 0.880362 0.879861 0.897593
 6.0 16.0 0.901480 0.901480 0.880619 0.879910 0.901418
 6.0 17.0 0.901480 0.901480 0.880366 0.880183 0.904943
 6.0 18.0 0.901480 0.901480 0.880262 0.879946 0.910983
 6.0 19.0 0.901480 0.901480 0.880431 0.880038 0.917398
 6.0 20.0 0.901480 0.901480 0.880319 0.879421 0.926993
 7.0  1.0 0.901480 0.901480 0.899796 0.899023 0.893846
 7.0  2.0 0.901480 0.901480 0.892101 0.890731 0.887111
 7.0  3.0 0.901480 0.901480 0.887591 0.885486 0.885258
 7.0  4.0 0.901480 0.901480 0.885031 0.883452 0.883932
 7.0  5.0 0.901480 0.901480 0.883357 0.882413 0.883567
 7.0  6.0 0.901480 0.901480 0.882294 0.881775 0.883962
 7.0  7.0 0.901480 0.901480 0.881783 0.881140 0.884077
 7.0  8.0 0.901480 0.901480 0.881587 0.880570 0.883993
 7.0  9.0 0.901480 0.901480 0.881417 0.880462 0.885316
 7.0 10.0 0.901480 0.901480 0.880957 0.880462 0.886789
 7.0 11.0 0.901480 0.901480 0.880644 0.880348 0.888040
 7.0 12.0 0.901480 0.901480 0.880712 0.880476 0.889944
 7.0 13.0 0.901480 0.901480 0.880405 0.880506 0.892346
 7.0 14.0 0.901480 0.901480 0.880396 0.880265 0.894974
 7.0 15.0 0.901480 0.901480 0.880190 0.879960 0.897762
 7.0 16.0 0.901480 0.901480 0.880549 0.879922 0.901316
 7.0 17.0 0.901480 0.901480 0.880151 0.880175 0.905532
 7.0 18.0 0.901480 0.901480 0.879893 0.879481 0.911352
 7.0 19.0 0.901480 0.901480 0.880313 0.879992 0.918142
 7.0 20.0 0.901480 0.901480 0.880265 0.879409 0.926720
 8.0  1.0 0.901480 0.901480 0.898605 0.897629 0.893590
 8.0  2.0 0.901480 0.901480 0.890506 0.889203 0.886550
 8.0  3.0 0.901480 0.901480 0.886398 0.884620 0.884252
 8.0  4.0 0.901480 0.901480 0.883972 0.882885 0.883420
 8.0  5.0 0.901480 0.901480 0.882844 0.881769 0.883476
 8.0  6.0 0.901480 0.901480 0.881726 0.880929 0.883611
 8.0  7.0 0.901480 0.901480 0.881328 0.881035 0.884024
 8.0  8.0 0.901480 0.901480 0.881657 0.880700 0.884212
 8.0  9.0 0.901480 0.901480 0.881247 0.880530 0.885577
 8.0 10.0 0.901480 0.901480 0.880699 0.880286 0.886815
 8.0 11.0 0.901480 0.901480 0.880502 0.880316 0.887509
 8.0 12.0 0.901480 0.901480 0.880474 0.880452 0.889580
 8.0 13.0 0.901480 0.901480 0.880305 0.880397 0.891727
 8.0 14.0 0.901480 0.901480 0.880321 0.879980 0.894794
 8.0 15.0 0.901480 0.901480 0.880147 0.879906 0.897599
 8.0 16.0 0.901480 0.901480 0.880445 0.879845 0.901199
 8.0 17.0 0.904425 0.904425 0.881551 0.881218 0.907600
 8.0 18.0 0.904425 0.904425 0.882060 0.881631 0.913279
 8.0 19.0 0.904425 0.904425 0.881749 0.881646 0.920206
 8.0 20.0 0.901480 0.901480 0.880181 0.879307 0.926707
 9.0  1.0 0.904425 0.904425 0.899351 0.898377 0.891655
 9.0  2.0 0.901480 0.901480 0.889051 0.886760 0.885928
 9.0  3.0 0.901480 0.901480 0.885351 0.883776 0.883633
 9.0  4.0 0.901480 0.901480 0.883255 0.882304 0.883566
 9.0  5.0 0.901480 0.901480 0.882148 0.881242 0.883094
 9.0  6.0 0.901480 0.901480 0.881293 0.881004 0.883315
 9.0  7.0 0.901480 0.901480 0.881248 0.880815 0.883923
 9.0  8.0 0.901480 0.901480 0.880937 0.880714 0.884307
 9.0  9.0 0.901480 0.901480 0.880957 0.880507 0.885238
 9.0 10.0 0.901480 0.901480 0.880616 0.880158 0.886334
 9.0 11.0 0.901480 0.901480 0.880423 0.880211 0.887307
 9.0 12.0 0.901480 0.901480 0.880459 0.880336 0.889616
 9.0 13.0 0.901480 0.901480 0.880466 0.880305 0.891623
 9.0 14.0 0.901480 0.901480 0.880156 0.880085 0.894617
 9.0 15.0 0.901480 0.901480 0.879925 0.879877 0.897872
 9.0 16.0 0.901480 0.901480 0.880402 0.879828 0.901271
 9.0 17.0 0.901480 0.901480 0.880233 0.880038 0.904786
 9.0 18.0 0.901480 0.901480 0.879768 0.879559 0.911017
 9.0 19.0 0.901480 0.901480 0.880089 0.879969 0.917705
 9.0 20.0 0.901480 0.901480 0.880296 0.879684 0.926485
10.0  1.0 0.901480 0.901480 0.896145 0.894372 0.888409
10.0  2.0 0.901480 0.901480 0.887943 0.886090 0.885312
10.0  3.0 0.901480 0.901480 0.884478 0.883276 0.883071
10.0  4.0 0.901480 0.901480 0.882612 0.881524 0.883026
10.0  5.0 0.901480 0.901480 0.881859 0.880978 0.883317
10.0  6.0 0.901480 0.901480 0.881071 0.880974 0.883747
10.0  7.0 0.901480 0.901480 0.881008 0.880516 0.884047
10.0  8.0 0.901480 0.901480 0.881142 0.880498 0.883961
10.0  9.0 0.901480 0.901480 0.880875 0.880480 0.885368
10.0 10.0 0.901480 0.901480 0.880378 0.880304 0.886185
10.0 11.0 0.901480 0.901480 0.880333 0.880197 0.887825
10.0 12.0 0.901480 0.901480 0.880387 0.880290 0.889739
10.0 13.0 0.901480 0.901480 0.880426 0.880329 0.891585
10.0 14.0 0.901480 0.901480 0.880211 0.880215 0.894584
10.0 15.0 0.901480 0.901480 0.879810 0.879819 0.897537
10.0 16.0 0.901480 0.901480 0.880265 0.879820 0.901307
10.0 17.0 0.901480 0.901480 0.880107 0.880028 0.905330
10.0 18.0 0.901480 0.901480 0.879656 0.879628 0.910865
10.0 19.0 0.901480 0.901480 0.880134 0.879847 0.918238
10.0 20.0 0.901480 0.901480 0.880236 0.879401 0.926345
11.0  1.0 0.901480 0.901480 0.894976 0.893992 0.887539
11.0  2.0 0.901480 0.901480 0.886991 0.885625 0.884234
11.0  3.0 0.901480 0.901480 0.883847 0.882397 0.883248
11.0  4.0 0.901480 0.901480 0.882327 0.881132 0.882791
11.0  5.0 0.904425 0.904425 0.883005 0.882163 0.884500
11.0  6.0 0.917940 0.917940 0.894384 0.893388 0.895949
11.0  7.0 0.917940 0.917940 0.893876 0.893184 0.896826
11.0  8.0 0.917940 0.917940 0.893592 0.893178 0.897205
11.0  9.0 0.917940 0.917940 0.893524 0.892988 0.898033
11.0 10.0 0.917940 0.917940 0.893085 0.892949 0.899435
11.0 11.0 0.917940 0.917940 0.893028 0.893087 0.900719
11.0 12.0 0.917940 0.917940 0.893246 0.892985 0.902625
11.0 13.0 0.917940 0.917940 0.892919 0.893156 0.905273
11.0 14.0 0.917940 0.917940 0.892610 0.893136 0.907792
11.0 15.0 0.917940 0.917940 0.892755 0.892890 0.911585
11.0 16.0 0.917940 0.917940 0.892987 0.892720 0.915136
11.0 17.0 0.917940 0.917940 0.892858 0.892695 0.919547
11.0 18.0 0.917940 0.917940 0.892749 0.893058 0.925411
11.0 19.0 0.917940 0.917940 0.892935 0.892929 0.932362
11.0 20.0 0.901480 0.901480 0.880186 0.879690 0.926860
12.0  1.0 0.901480 0.901480 0.894195 0.893162 0.887853
12.0  2.0 0.917940 0.917940 0.898174 0.897217 0.896766
12.0  3.0 0.917940 0.917940 0.895596 0.894469 0.895597
12.0  4.0 0.917940 0.917940 0.894718 0.893845 0.895230
12.0  5.0 0.917940 0.917940 0.894085 0.893531 0.895711
12.0  6.0 0.917940 0.917940 0.894335 0.893359 0.896213
12.0  7.0 0.917940 0.917940 0.893765 0.893280 0.896658
12.0  8.0 0.917940 0.917940 0.893440 0.893133 0.897426
12.0  9.0 0.917940 0.917940 0.893450 0.893024 0.898140
12.0 10.0 0.901480 0.901480 0.880258 0.880200 0.886364
12.0 11.0 0.917940 0.917940 0.893106 0.893224 0.901240
12.0 12.0 0.917940 0.917940 0.893236 0.893076 0.903052
12.0 13.0 0.917940 0.917940 0.892883 0.893122 0.905333
