lengthscale l2regularizer rmse_mean rmse_std

0.525 0.025 1.0866197 0.45227006
0.525 0.05 1.1417831 0.7194826
0.525 0.075 1.1074928 0.6022491
0.525 0.1 1.1142724 0.5267915
0.525 0.125 1.1775026 0.55620134
0.525 0.15 1.1796552 0.5473116
0.525 0.175 1.1421608 0.5334584
0.525 0.2 1.1943446 0.65488297
0.525 0.225 1.2219843 0.5524921
0.525 0.25 1.1010022 0.47073114
0.525 0.275 1.2120193 0.5101687
0.525 0.3 1.1320038 0.502936
0.525 0.325 1.0906423 0.46529818
0.525 0.35 1.1431359 0.51022696
0.525 0.375 1.1727641 0.5345373
0.525 0.4 1.0265715 0.48087096
0.525 0.425 1.1561551 0.59721076
0.525 0.45 1.152425 0.54229856
0.525 0.475 1.1905421 0.60815096
0.525 0.5 1.029623 0.48084968
0.525 0.525 1.1652395 0.5937724
0.525 0.55 1.1536431 0.55387664
0.525 0.575 1.1787318 0.51933783

0.525 0.6 1.136459 0.4703154
0.525 0.625 1.1801795 0.5413241
0.525 0.65 1.0505794 0.40707695
0.525 0.675 1.1375992 0.409283
0.525 0.7 1.1661657 0.5961923
0.525 0.725 1.0993818 0.59160924
0.525 0.75 1.185813 0.623241
0.525 0.775 1.0556828 0.4996172
0.525 0.8 1.2057481 0.60686177
0.525 0.825 1.006378 0.40600044
0.525 0.85 1.1967707 0.45723382
0.525 0.875 1.1416705 0.46101972
0.525 0.6 1.2138352 0.8081062
0.525 0.625 1.1227045 0.5118304
0.525 0.65 1.1698272 0.56630504
0.525 0.675 1.202282 0.63011855
0.525 0.7 1.188245 0.62905127
0.525 0.725 1.1274337 0.54946727
0.525 0.75 1.1976404 0.4890409
0.525 0.775 1.0109686 0.4999209
0.525 0.8 1.1287457 0.4021499
0.525 0.825 1.1369903 0.5931687
0.525 0.85 1.0666975 0.6604759
0.525 0.875 1.2037398 0.6032071
0.525 0.9 1.2423179 0.5515688
0.525 0.925 1.195595 0.61204153
0.525 0.95 1.2699295 0.53761834
0.525 0.975 1.1094964 0.535994
0.525 1.0 1.1151077 0.49365842
0.55 0.025 1.1716826 0.54546255
0.55 0.05 1.1476958 0.48481786
0.55 0.075 1.1750572 0.7593391
0.55 0.1 1.1226535 0.52036685
0.55 0.125 1.2400796 0.64427257
0.55 0.15 1.2199519 0.5509108
0.55 0.175 1.1903107 0.42563027
0.55 0.2 1.1885226 0.5417503
0.55 0.225 1.1787119 0.5323398
0.55 0.25 1.1229534 0.6052999
0.55 0.275 1.0873873 0.52589333
0.55 0.3 1.21986 0.6523064
0.55 0.325 1.0700996 0.4041607
0.55 0.35 1.1559575 0.4850555
0.55 0.375 1.0708208 0.5393864
0.55 0.4 1.1616058 0.63200945
0.55 0.425 1.2395922 0.6389814
0.55 0.45 1.0477439 0.47912478
0.55 0.475 1.0838575 0.5148449
0.55 0.5 1.0231903 0.4035675
0.55 0.525 1.0979303 0.4717484
0.55 0.55 1.1866511 0.5557045
0.55 0.575 1.045014 0.47918823
0.55 0.6 1.1624603 0.48765332
0.55 0.625 1.2227834 0.5992972
0.55 0.65 1.1678278 0.57758045
0.55 0.675 1.1453165 0.56811935
0.55 0.7 1.1306477 0.63706255
0.55 0.725 1.1333339 0.5269578
0.55 0.75 1.1295836 0.4056551
0.55 0.775 1.1528552 0.56127614
0.55 0.8 1.1511465 0.43278143
0.55 0.825 1.1572216 0.528723
0.55 0.85 1.067385 0.5711414
0.55 0.875 1.1344035 0.48957852
0.55 0.9 1.1944764 0.61929524
0.55 0.925 1.0739093 0.52677155

0.55 0.95 1.1134907 0.52052194
0.55 0.975 1.1269888 0.51926976
0.55 1.0 1.1768703 0.5914457
0.575 0.025 1.2781787 0.6276842
0.575 0.05 1.1927294 0.634549
0.575 0.075 1.2047932 0.7477031
0.575 0.1 1.150016 0.5281451
0.575 0.125 1.2111814 0.68050104
0.575 0.15 1.2112119 0.6163923
0.575 0.175 1.2199967 0.6440353
0.575 0.2 1.1273589 0.58232945
0.575 0.225 1.2088648 0.6147172
0.575 0.25 1.2100911 0.791075
0.575 0.275 1.2127708 0.5909487
0.575 0.3 1.1749904 0.47993883
0.575 0.325 1.206126 0.47563538
0.575 0.35 1.1180594 0.5083256
0.575 0.375 1.1127615 0.5243697
0.575 0.4 1.1298066 0.5121118
0.575 0.425 1.1283787 0.59394115
0.575 0.45 1.084033 0.50654745
0.575 0.475 1.1785015 0.59356385
0.575 0.5 1.1109269 0.47363624
