lengthscale l2regularizer rmse_mean rmse_std
0.150 0.425 1.129347 0.504312
0.150 0.450 1.126131 0.489546
0.150 0.475 1.118816 0.502562
0.150 0.500 1.128132 0.475183
0.150 0.525 1.140728 0.541871
0.150 0.550 1.108772 0.499629
0.150 0.575 1.129851 0.494068
0.150 0.600 1.149724 0.496220
0.150 0.625 1.098645 0.457379
0.150 0.650 1.139841 0.465076
0.150 0.675 1.118746 0.504876
0.150 0.700 1.152449 0.507406
0.150 0.725 1.111095 0.505056
0.150 0.750 1.132805 0.493447
0.150 0.775 1.123736 0.461818
0.150 0.800 1.133121 0.501772
0.150 0.825 1.163406 0.550334
0.150 0.850 1.108009 0.482604
0.150 0.875 1.118712 0.460334
0.150 0.900 1.107951 0.513421
0.150 0.925 1.154535 0.532818
0.150 0.950 1.101720 0.465593
0.150 0.975 1.143749 0.478589
0.150 1.000 1.135884 0.509236
0.175 0.025 1.052816 0.432677
0.175 0.050 1.112469 0.388161
0.175 0.075 1.083202 0.431113
0.175 0.100 1.081563 0.448979
0.175 0.125 1.177679 0.503588
0.175 0.150 1.126895 0.507701
0.175 0.175 1.115757 0.517876
0.175 0.200 1.165969 0.557570
0.175 0.225 1.135452 0.567209
0.175 0.250 1.143648 0.501819
0.175 0.275 1.155318 0.526642
0.175 0.300 1.136797 0.529219
0.175 0.325 1.149123 0.494096
0.175 0.350 1.128978 0.438889
0.175 0.375 1.121465 0.492407
0.175 0.400 1.156034 0.507817
0.175 0.425 1.151952 0.544299
0.175 0.450 1.158695 0.522355
0.175 0.475 1.165494 0.561964
0.175 0.500 1.163416 0.527471
0.175 0.525 1.106398 0.468882
0.175 0.550 1.080918 0.487135
0.175 0.575 1.152428 0.493443
0.175 0.600 1.125800 0.459265
0.175 0.625 1.121162 0.467161
0.175 0.650 1.125054 0.514237
0.175 0.675 1.136917 0.473533
0.175 0.700 1.114617 0.503077
0.175 0.725 1.165506 0.530021
0.175 0.750 1.137086 0.524583
0.175 0.775 1.147018 0.559454
0.175 0.800 1.132364 0.529572
0.175 0.825 1.157620 0.504225
0.175 0.850 1.122264 0.513861
0.175 0.875 1.111518 0.504546
0.175 0.900 1.144038 0.508688
0.175 0.925 1.156648 0.519329
0.175 0.950 1.113704 0.496560
0.175 0.975 1.180098 0.530713
0.175 1.000 1.134325 0.483471
0.200 0.025 1.157232 0.497252
0.200 0.050 1.144513 0.388724
0.200 0.075 1.160382 0.498656
0.200 0.100 1.143643 0.604993
0.200 0.125 1.212845 0.566920
0.200 0.150 1.205859 0.599448
0.200 0.175 1.115565 0.585341
0.200 0.200 1.158042 0.584239
0.200 0.225 1.108853 0.518555
0.200 0.250 1.077778 0.426570
0.200 0.275 1.153580 0.472926
0.200 0.300 1.180235 0.519209
0.200 0.325 1.108658 0.507192
0.200 0.350 1.140907 0.524258
0.200 0.375 1.107675 0.475862
0.200 0.400 1.165258 0.490254
0.200 0.425 1.128246 0.523785
0.200 0.450 1.111816 0.476374
0.200 0.475 1.108001 0.500805
0.200 0.500 1.136836 0.537091
0.200 0.525 1.117597 0.493684
0.200 0.550 1.124687 0.459987
0.200 0.575 1.071085 0.474919
0.200 0.600 1.183593 0.544879
0.200 0.625 1.129403 0.494696
0.200 0.650 1.155777 0.495872
0.200 0.675 1.160179 0.501914
0.200 0.700 1.141236 0.540013
0.200 0.725 1.137540 0.520613
0.200 0.750 1.142058 0.500390
0.200 0.775 1.128489 0.492560
0.200 0.800 1.142389 0.514382
0.200 0.825 1.122268 0.480055
0.200 0.850 1.105066 0.479507
0.200 0.875 1.131918 0.533057
0.200 0.900 1.146743 0.516505
0.200 0.925 1.124934 0.481659
0.200 0.950 1.109745 0.486731
0.200 0.975 1.138939 0.510880
0.200 1.000 1.155499 0.528997
0.225 0.025 1.146173 0.556635
0.225 0.050 1.168584 0.464110
0.225 0.075 1.113980 0.455836
0.225 0.100 1.143480 0.511155
0.225 0.125 1.107336 0.508838
0.225 0.150 1.052317 0.467089
0.225 0.175 1.192231 0.583610
0.225 0.200 1.130912 0.494733
0.225 0.225 1.136279 0.502910
0.225 0.250 1.170810 0.575592
0.225 0.275 1.065009 0.421317
0.225 0.300 1.140563 0.517770
0.225 0.325 1.146610 0.522003
0.225 0.350 1.157898 0.589536
0.225 0.375 1.099478 0.512149
0.225 0.400 1.146783 0.501625
0.225 0.425 1.199919 0.510479
0.225 0.450 1.130381 0.508285
0.225 0.475 1.179135 0.560237
0.225 0.500 1.182992 0.522149
0.225 0.525 1.174798 0.539399
0.225 0.550 1.172104 0.539225
0.225 0.575 1.152213 0.503858
0.225 0.600 1.125872 0.483113
0.225 0.625 1.140073 0.538381
0.225 0.650 1.150873 0.537356
0.225 0.675 1.156623 0.509166
0.225 0.700 1.187869 0.498176
0.225 0.725 1.154275 0.497374
0.225 0.750 1.128242 0.523283
0.225 0.775 1.118214 0.492081
0.225 0.800 1.126453 0.516700
0.225 0.825 1.146615 0.527190
0.225 0.850 1.128452 0.479856
0.225 0.875 1.128187 0.479637
0.225 0.900 1.187843 0.506898
0.225 0.925 1.150530 0.514098
0.225 0.950 1.131426 0.497104
0.225 0.975 1.090033 0.526954
0.225 1.000 1.175181 0.549600
0.250 0.025 1.138300 0.483252
0.250 0.050 1.089319 0.545648
0.250 0.075 1.213979 0.538265
0.250 0.100 1.291689 0.640321
0.250 0.125 1.065173 0.463359
0.250 0.150 1.184227 0.593810
0.250 0.175 1.132894 0.460002
0.250 0.200 1.115950 0.548448
0.250 0.225 1.141068 0.457112
0.250 0.250 1.152493 0.448611
0.250 0.275 1.208261 0.528469
0.250 0.300 1.133155 0.577613
0.250 0.325 1.154746 0.485270
0.250 0.350 1.156782 0.534881
0.250 0.375 1.169610 0.511530
0.250 0.400 1.108383 0.498756
0.250 0.425 1.136858 0.558089
