lengthscale l2regularizer rmse_mean rmse_std

0.05 0.55 1.1280485 0.5157077
0.05 0.775 1.1356674 0.4816182
0.05 0.475 1.1629572 0.52712274
0.05 0.425 1.1114917 0.49491486
0.05 0.75 1.129541 0.5127185
0.05 0.625 1.141798 0.5241687
0.05 0.725 1.1453412 0.5331952
0.05 0.7 1.1193913 0.48859587
0.05 0.525 1.1109234 0.5123909
0.05 0.6 1.1332048 0.5214234
0.05 0.45 1.1426948 0.569269
0.075 0.55 1.1396878 0.4896831
0.05 0.5 1.161185 0.499177
0.05 0.825 1.1196672 0.52383
0.075 0.175 1.1150764 0.48887524
0.05 0.675 1.1229168 0.49218577
0.05 0.85 1.1185858 0.505449
0.075 0.3 1.1529285 0.59888333
0.075 0.15 1.1862328 0.5428127
0.075 0.025 1.1978967 0.5846731
0.075 0.125 1.1511273 0.53624237
0.075 0.05 1.1152437 0.5403527
0.05 0.2 1.1598647 0.4857398
0.075 0.1 1.2000252 0.57679474
0.075 0.075 1.0743251 0.35667732
0.075 0.325 1.1329544 0.45415124
0.075 0.275 1.143958 0.45618314
0.075 0.475 1.1747371 0.49901164
0.05 0.875 1.1204722 0.49656454
0.05 0.8 1.1064824 0.51522344
0.075 0.425 1.1214516 0.49151444
0.075 0.2 1.1524292 0.4800128
0.075 0.45 1.1348492 0.48793173
0.05 0.225 1.1539476 0.53385717
0.05 0.075 1.1056378 0.53039753
0.05 0.05 1.0925984 0.5098323
0.05 0.025 1.1647284 0.5706394
0.05 0.1 1.1249335 0.529479
0.05 0.65 1.1653031 0.5475799
0.05 0.575 1.160398 0.49213535
0.075 0.975 1.1361952 0.51218
0.1 0.475 1.1072108 0.50509495
0.075 0.95 1.1417859 0.5004026
0.1 0.025 1.1234109 0.51385766
0.1 0.15 1.1592138 0.49591234
0.075 0.225 1.191267 0.5654833
0.1 0.825 1.1242534 0.48309836
0.075 0.35 1.2156787 0.630863
0.1 0.325 1.1753852 0.52101356
0.075 0.25 1.1892016 0.44909835
0.1 0.7 1.1358936 0.4963304
0.125 0.225 1.1696653 0.5205408
0.1 0.725 1.1116908 0.47634315
0.1 0.4 1.1250961 0.48938596
0.075 0.7 1.1489961 0.5177208
0.1 0.75 1.1406213 0.51505494
0.1 0.775 1.1231469 0.5220329
0.075 0.675 1.1777555 0.48416966
0.1 0.45 1.1733854 0.5297118
0.1 0.675 1.1384286 0.4798902
0.1 0.65 1.1038074 0.45434475
0.1 0.9 1.1206586 0.51316583
0.1 0.425 1.1178701 0.4685102
0.1 0.3 1.1375318 0.500347
0.125 0.1 1.1024212 0.5327158
0.125 0.15 1.1693075 0.54024684
0.1 0.875 1.1205828 0.47467616
0.1 0.975 1.1490856 0.51413554
0.125 0.075 1.1160535 0.4394255
0.125 0.125 1.1475832 0.48330155
0.125 0.05 1.1200768 0.46366164
0.125 0.2 1.1674554 0.49440584
0.125 0.175 1.1264932 0.52909184
0.125 0.35 1.1364777 0.49531886
0.125 0.025 1.1329572 0.54506654
0.125 0.275 1.1474422 0.48496336
0.15 0.175 1.1001654 0.5142986
0.125 0.3 1.1361749 0.5235311
0.125 0.25 1.18076 0.5554075
0.125 0.325 1.0831664 0.42881343
0.125 0.375 1.1481721 0.58465904
0.125 0.4 1.1299074 0.4680901
0.125 0.475 1.1285517 0.52676797
0.125 0.5 1.1393702 0.51680464
0.125 0.9 1.14004 0.5001333
0.125 0.65 1.1491305 0.5287367
0.125 0.7 1.1887833 0.54960257
0.125 0.725 1.1274991 0.49302092
0.1 0.925 1.1589762 0.5279818
0.125 0.675 1.1136081 0.47128573
0.125 0.85 1.1281517 0.50573814
0.125 0.6 1.1790156 0.52622736
0.15 0.7 1.1524489 0.5074061
0.1 0.85 1.11242 0.47931644
0.15 0.825 1.1634061 0.550334
0.15 0.75 1.1328051 0.49344712
0.15 0.35 1.1141804 0.46263123
0.15 0.025 1.0231371 0.5175866
0.125 1.0 1.1405785 0.5257944
0.15 0.275 1.1616433 0.5405101
0.15 0.225 1.1969663 0.57822686
0.1 0.95 1.1534226 0.49453944
0.125 0.975 1.1198153 0.49208552
0.15 0.075 1.10615 0.46049008
0.1 0.8 1.1247056 0.4799069
0.15 0.9 1.1079515 0.5134207
0.15 0.125 1.1259344 0.49437967
0.15 0.15 1.1869862 0.56957775
0.125 0.45 1.1795429 0.5546406
0.15 0.25 1.1526115 0.54439765
0.15 0.05 1.0646738 0.48377335
0.125 0.625 1.1292275 0.5526532
0.15 0.775 1.1237361 0.461818
0.15 0.325 1.1552083 0.47429752
0.15 0.65 1.1398414 0.4650764
0.15 0.975 1.143749 0.47858912
0.15 0.425 1.1293466 0.5043124
0.15 0.725 1.1110945 0.50505626
0.15 0.375 1.0922407 0.48002464
0.125 0.875 1.1062763 0.5103508
0.1 1.0 1.1523774 0.4953604
0.15 0.875 1.1187125 0.46033365
0.125 0.925 1.1075797 0.46903926
0.15 0.4 1.1115892 0.46745768
0.125 0.95 1.1580446 0.4890869
0.15 0.625 1.0986446 0.4573792
0.125 0.575 1.1139762 0.5615042
0.175 0.25 1.1436477 0.5018193
0.15 0.525 1.140728 0.54187137
0.15 0.475 1.1188161 0.50256234
0.15 0.55 1.1087718 0.49962914
0.15 0.575 1.1298506 0.49406797
0.15 0.6 1.1497242 0.49622047
0.15 0.5 1.1281315 0.47518325
0.175 0.025 1.0528158 0.43267676
0.15 0.45 1.1261313 0.48954582
0.15 0.2 1.1241033 0.47739163
0.175 0.175 1.115757 0.5178765
0.2 0.225 1.1088527 0.5185546
0.175 0.675 1.1369168 0.4735332
0.175 0.625 1.121162 0.4671608
0.175 0.35 1.1289779 0.43888924
0.15 0.8 1.1331214 0.5017716
0.175 0.05 1.1124691 0.38816077
0.175 0.925 1.1566484 0.5193289
0.2 0.95 1.109745 0.48673055
0.175 0.475 1.1654937 0.5619643
0.2 0.8 1.1423895 0.514382
0.175 0.975 1.1800983 0.530713
0.175 0.525 1.106398 0.4688816
0.175 0.9 1.1440382 0.5086883
0.2 0.125 1.2128451 0.56691974
0.2 0.2 1.1580418 0.5842387
0.2 0.075 1.1603823 0.49865556
0.175 0.725 1.1655061 0.5300207
0.2 0.175 1.1155655 0.58534086
0.2 0.05 1.1445134 0.3887245
0.2 0.1 1.1436427 0.60499275
0.2 0.15 1.205859 0.5994478
0.15 0.925 1.154535 0.5328178
0.2 0.975 1.1389389 0.5108805
0.2 0.375 1.1076746 0.47586152
0.2 0.25 1.0777776 0.42657042
0.2 0.3 1.1802346 0.5192086
0.175 0.375 1.1214651 0.49240702
0.175 0.6 1.1257995 0.45926496
0.2 0.275 1.15358 0.47292584
0.2 0.325 1.1086584 0.50719154
0.2 0.35 1.1409065 0.5242581
0.175 0.075 1.083202 0.43111303
0.175 0.55 1.0809176 0.4871353
0.175 0.575 1.1524276 0.4934435
0.175 0.95 1.1137044 0.4965601
0.15 0.85 1.1080091 0.48260424
0.175 0.275 1.1553183 0.5266422
0.225 0.3 1.1405628 0.51777023
0.2 0.55 1.1246874 0.4599871
0.2 0.7 1.1412364 0.5400134
0.175 0.425 1.1519516 0.5442989
0.225 0.1 1.1434797 0.5111546
0.2 0.575 1.0710846 0.47491872
0.2 0.875 1.1319176 0.533057
0.2 0.775 1.1284889 0.49256045
0.225 0.025 1.1461728 0.55663455
0.2 0.75 1.1420577 0.50038993
0.2 0.725 1.1375403 0.5206133
0.2 0.85 1.1050663 0.4795073
0.175 0.3 1.1367972 0.529219
0.2 1.0 1.1554992 0.52899724
0.2 0.825 1.1222678 0.4800554
0.2 0.025 1.1572322 0.49725202
0.175 0.7 1.1146171 0.50307727
0.175 0.65 1.125054 0.5142373
0.2 0.475 1.1080011 0.500805
0.175 1.0 1.1343249 0.48347086
0.225 0.25 1.1708097 0.57559174
0.225 0.075 1.1139803 0.45583647
0.175 0.125 1.1776794 0.5035878
0.175 0.85 1.1222644 0.5138613
0.225 0.7 1.1878687 0.49817616
0.225 0.55 1.1721041 0.5392254
0.2 0.625 1.1294034 0.4946964
0.2 0.525 1.1175967 0.49368382
0.225 0.275 1.0650089 0.42131725
0.2 0.6 1.1835933 0.54487926
0.225 0.4 1.1467835 0.5016255
0.225 0.125 1.1073363 0.5088385
0.175 0.1 1.0815626 0.44897917
0.175 0.875 1.1115179 0.5045457
0.225 0.575 1.1522129 0.5038585
0.225 0.35 1.1578976 0.58953637
0.225 0.375 1.0994779 0.5121486
0.25 0.075 1.213979 0.5382653
0.2 0.9 1.1467432 0.51650494
0.175 0.825 1.1576202 0.5042249
0.225 0.45 1.1303813 0.50828457
0.225 0.05 1.1685843 0.46411023
0.225 0.525 1.1747983 0.5393993
0.225 0.8 1.1264529 0.5167001
0.225 0.475 1.1791353 0.5602368
0.25 0.375 1.1696097 0.5115303
0.225 0.675 1.1566226 0.5091663
0.225 0.425 1.1999193 0.510479
0.225 0.15 1.0523165 0.46708915
0.225 0.625 1.1400726 0.53838146
0.225 0.2 1.1309115 0.49473286
0.225 0.175 1.1922314 0.5836102
0.225 0.65 1.150873 0.5373557
0.225 0.325 1.1466095 0.5220028
0.225 0.75 1.1282418 0.52328336
0.25 0.575 1.1204453 0.4760113
0.225 0.5 1.182992 0.5221491
0.25 0.475 1.1576954 0.512397
0.25 0.65 1.1349409 0.51441896
0.25 0.425 1.1368577 0.558089
0.25 0.45 1.1406012 0.53590643
0.25 0.4 1.1083829 0.49875566
0.225 0.95 1.1314261 0.49710375
0.225 0.85 1.1284517 0.47985578
0.225 0.825 1.1466154 0.5271904
0.225 0.775 1.1182141 0.49208134
0.25 0.25 1.1524934 0.44861144
0.25 0.6 1.1785791 0.51106626
0.275 0.4 1.1722755 0.50970644
0.275 0.55 1.1143004 0.454975
0.275 0.175 1.1234562 0.5658307
0.25 0.9 1.1341012 0.5104081
0.25 0.75 1.1217476 0.47329292
0.25 0.975 1.0949652 0.5078913
