lengthscale l2regularizer rmse_mean rmse_std

0.050 0.025 1.171709 0.571599
0.050 0.050 1.234944 0.610871
0.050 0.075 1.101451 0.459086
0.050 0.100 1.152349 0.453915
0.050 0.125 1.118039 0.508037
0.050 0.150 1.094937 0.421585
0.050 0.175 1.210021 0.518915
0.050 0.200 1.185050 0.436131
0.050 0.225 1.162327 0.500014
0.050 0.250 1.088155 0.461487
0.050 0.275 1.155519 0.471771
0.050 0.300 1.144203 0.483667
0.050 0.325 1.201223 0.485866
0.050 0.350 1.174041 0.447457
0.050 0.375 1.198633 0.607720
0.050 0.400 1.081297 0.415039
0.050 0.425 1.192509 0.528006
0.050 0.450 1.209427 0.541547
0.050 0.475 1.144855 0.513514
0.050 0.500 1.115404 0.556132
0.050 0.525 1.137191 0.518205
0.050 0.550 1.127838 0.482074
0.050 0.575 1.206122 0.585915
0.050 0.600 1.200579 0.584850
0.050 0.625 1.178784 0.600452
0.050 0.650 1.155197 0.493127
0.050 0.675 1.056682 0.482818
0.050 0.700 1.121551 0.468888
0.050 0.725 1.144736 0.545563
0.050 0.750 1.212347 0.548789
0.050 0.775 1.133811 0.468668
0.050 0.800 1.139042 0.537061
0.050 0.825 1.140208 0.496153
0.050 0.850 1.138234 0.441267
0.050 0.875 1.142151 0.512190
0.050 0.900 1.081898 0.456968
0.050 0.925 1.150330 0.471727
0.050 0.950 1.081161 0.403749
0.050 0.975 1.127740 0.573078
0.050 1.000 1.141918 0.563926
0.075 0.025 1.176290 0.589649
0.075 0.050 1.167132 0.463123
0.075 0.075 1.165779 0.575484
0.075 0.100 1.129123 0.547995
0.075 0.125 1.197081 0.538071
0.075 0.150 1.276449 0.704748
0.075 0.175 1.189163 0.557175
0.075 0.200 1.172292 0.536833
0.075 0.225 1.166865 0.427084
0.075 0.250 1.142315 0.453112
0.075 0.275 1.247346 0.633039
0.075 0.300 1.211491 0.510134
0.075 0.325 1.105737 0.524079
0.075 0.350 1.139426 0.465763
0.075 0.375 1.202623 0.568909
0.075 0.400 1.195151 0.599041
0.075 0.425 1.111812 0.462384
0.075 0.450 1.224273 0.606524
0.075 0.475 1.129654 0.477902
0.075 0.500 1.251819 0.501455
0.075 0.525 1.131879 0.504476
0.075 0.550 1.126235 0.433966
0.075 0.575 1.154058 0.617466
0.075 0.600 1.218424 0.552991
0.075 0.625 1.123599 0.466960
0.075 0.650 1.172741 0.484792
0.075 0.675 1.177843 0.527167
0.075 0.700 1.131323 0.608593
0.075 0.725 1.128318 0.552521
0.075 0.750 1.065564 0.503632
0.075 0.775 1.121412 0.499886
0.075 0.800 1.179332 0.555694
0.075 0.825 1.167857 0.621271
0.075 0.850 1.171262 0.554426
0.075 0.875 1.110195 0.556828
0.075 0.900 1.145900 0.492350
0.075 0.925 1.081102 0.443141
0.075 0.950 1.213811 0.570753
0.075 0.975 1.073433 0.448450
0.075 1.000 1.209266 0.631645
0.100 0.025 1.012968 0.443601
0.100 0.050 1.176991 0.516086
0.100 0.075 1.296209 0.622729
0.100 0.100 1.108273 0.456813
0.100 0.125 1.230872 0.609414
0.100 0.150 1.187939 0.597021
0.100 0.175 1.139539 0.590899
0.100 0.200 1.121381 0.428831
0.100 0.225 1.182817 0.570459
0.100 0.250 1.159255 0.471433
0.100 0.275 1.087097 0.399598
0.100 0.300 1.164497 0.581059
0.100 0.325 1.186516 0.581103
0.100 0.350 1.036642 0.460095
0.100 0.375 1.182632 0.531548
0.100 0.400 1.193290 0.527881
0.100 0.425 1.113698 0.482936
0.100 0.450 1.072375 0.442608
0.100 0.475 1.095259 0.405236
0.100 0.500 1.105652 0.460245
0.100 0.525 1.168450 0.499843
0.100 0.550 1.135661 0.471563
0.100 0.575 1.073548 0.514458
0.100 0.600 1.209298 0.523373
0.100 0.625 1.141649 0.616555
0.100 0.650 1.190578 0.571653
0.100 0.675 1.112675 0.433164
0.100 0.700 1.114310 0.538448
0.100 0.725 1.222912 0.496613
0.100 0.750 1.059521 0.454180
0.100 0.775 1.067467 0.411963
0.100 0.800 1.152005 0.467790
0.100 0.825 1.160270 0.470726
0.100 0.850 1.154598 0.596559
0.100 0.875 1.153031 0.545893
0.100 0.900 1.122181 0.562750
0.100 0.925 1.165946 0.554060
0.100 0.950 1.138706 0.517516
0.100 0.975 1.164942 0.593967
0.100 1.000 1.077538 0.392522
0.125 0.025 1.077709 0.523913
0.125 0.050 1.081713 0.425532
0.125 0.075 1.157895 0.499855
0.125 0.100 1.145154 0.533339
0.125 0.125 1.173860 0.505525
0.125 0.150 1.094372 0.459672
0.125 0.175 1.177978 0.590956
0.125 0.200 1.181119 0.555430
0.125 0.225 1.131483 0.544771
0.125 0.250 1.123933 0.463122
0.125 0.275 1.111476 0.432059
0.125 0.300 1.100667 0.441774
0.125 0.325 1.213382 0.619865
