lengthscale l2regularizer rmse_mean rmse_std
0.45 0.85 1.096934 0.473072
0.45 0.90 1.059074 0.428630
0.45 0.95 1.196613 0.552964
0.45 1.00 1.145971 0.545652
0.50 0.05 1.082326 0.508877
0.50 0.10 1.155135 0.480829
0.50 0.15 1.116437 0.507431
0.50 0.20 1.198110 0.463444
0.50 0.25 1.046750 0.546071
0.50 0.30 1.108969 0.511620
0.50 0.35 1.196279 0.533795
0.50 0.40 1.149742 0.547437
0.50 0.45 1.148287 0.520532
0.50 0.50 1.201585 0.518716
0.50 0.55 1.117569 0.466904
0.50 0.60 1.080446 0.530535
0.50 0.65 1.119340 0.536365
0.50 0.70 1.124214 0.470433
0.50 0.75 1.169352 0.495569
0.50 0.80 1.073298 0.453178
0.50 0.85 1.140313 0.549243
0.50 0.90 1.110737 0.478614
0.50 0.95 1.166433 0.507881
0.50 1.00 1.093200 0.557032
0.55 0.05 1.050443 0.408461
0.55 0.10 1.134110 0.471113
0.55 0.15 1.079522 0.481221
0.55 0.20 1.167791 0.480098
0.55 0.25 1.154811 0.496683
0.55 0.30 1.109448 0.488964
0.55 0.35 1.066279 0.453349
0.55 0.40 1.150865 0.500795
0.55 0.45 1.149755 0.553189
0.55 0.50 1.113679 0.515978
0.55 0.55 1.166580 0.519315
0.55 0.60 1.166946 0.509402
0.55 0.65 1.088895 0.502469
0.55 0.70 1.150758 0.542172
0.55 0.75 1.154564 0.625417
0.55 0.80 1.043861 0.464413
0.55 0.85 1.077429 0.484608
0.55 0.90 1.117402 0.482501
0.55 0.95 1.150956 0.504639
0.55 1.00 1.139894 0.560195
0.60 0.05 1.037138 0.534911
0.60 0.10 1.112064 0.554798
0.60 0.15 1.104397 0.546176
0.60 0.20 1.150457 0.509246
0.60 0.25 1.164741 0.550797
0.60 0.30 1.140675 0.605526
0.60 0.35 1.150637 0.542511
0.60 0.40 1.133502 0.483756
0.60 0.45 1.126773 0.399781
0.60 0.50 1.112820 0.477788
0.60 0.55 1.084157 0.511946
0.60 0.60 1.101871 0.476762
