lengthscale l2regularizer rmse_bma_mean rmse_bma rmse_bae rmse_bne_vo rmse_bne_vs
11.0 6.0 0.9179398 0.9179398 0.8943844 0.8933881 0.8959486
14.0 5.0 0.9179398 0.9179398 0.89381427 0.89315116 0.8955841
14.0 10.0 0.9179398 0.9179398 0.8929679 0.8928469 0.89931124
14.0 11.0 0.9179398 0.9179398 0.8930415 0.8929369 0.90125847
14.0 2.0 0.9179398 0.9179398 0.8972026 0.8961026 0.896087
4.0 10.0 0.9014802 0.9014802 0.88271683 0.8815711 0.8873771
5.0 10.0 0.9014802 0.9014802 0.88189316 0.88066304 0.8868481
5.0 11.0 0.9014802 0.9014802 0.88145715 0.88080835 0.88827693
14.0 1.0 0.9179398 0.9179398 0.9037198 0.90223485 0.90564144
2.0 12.0 0.9014802 0.9014802 0.8864876 0.8845784 0.8945106
9.0 10.0 0.9014802 0.9014802 0.88061637 0.8801576 0.8863341
1.0 8.0 0.9014802 0.9014802 0.9005329 0.8964025 0.9076891
2.0 9.0 0.9014802 0.9014802 0.8895669 0.8873903 0.8924888
14.0 4.0 0.9179398 0.9179398 0.8942833 0.8933166 0.89511186
5.0 20.0 0.9014802 0.9014802 0.8804436 0.87973106 0.9265259
14.0 3.0 0.9179398 0.9179398 0.894901 0.8939535 0.89495295
5.0 19.0 0.9014802 0.9014802 0.88043153 0.8801346 0.91831887
5.0 18.0 0.9014802 0.9014802 0.88049984 0.87992316 0.9116309
2.0 16.0 0.9014802 0.9014802 0.88410985 0.8823309 0.9072774
5.0 7.0 0.9014802 0.9014802 0.8833416 0.88224715 0.88412255
5.0 13.0 0.9014802 0.9014802 0.88125783 0.88064176 0.89211714
5.0 17.0 0.9014802 0.9014802 0.8806817 0.8798357 0.9058097
2.0 14.0 0.9014802 0.9014802 0.88504994 0.8831274 0.9005207
16.0 19.0 0.9179398 0.9179398 0.8928698 0.892727 0.93242395
12.0 14.0 0.9179398 0.9179398 0.89261687 0.8931397 0.90790844
12.0 15.0 0.9179398 0.9179398 0.8927008 0.89293003 0.9115235
6.0 6.0 0.9014802 0.9014802 0.8830797 0.88216925 0.8837158
