lengthscale l2regularizer bma_rmse_mean bma_rmse_median bma_std bma_cov nll_bma_mean nll_bma_median bae_rmse_mean bae_rmse_median bae_std bae_cov nll_bae_mean nll_bae_median
0.05 1.55 0.90279406 0.84783506 0.39314523 0.9215686274509803 1.0765562 0.9209776 1.0831556 1.041809 0.4506104 0.9803921568627451 1.0003358 0.9513223
0.05 3.45 0.90276843 0.8479985 0.39293915 0.9215686274509803 1.0768238 0.9210471 1.039599 1.0389495 0.4849508 0.9803921568627451 1.0580283 0.9685806
0.05 1.6 0.9028166 0.8478362 0.39313808 0.9215686274509803 1.0765641 0.9209932 1.0932297 1.0399966 0.46522486 1.0 1.0132504 0.94854665
0.05 0.7 0.9028924 0.84819853 0.39285314 0.9215686274509803 1.076125 0.92107093 1.6655258 1.3429873 0.51394385 0.9411764705882353 1.0917021 0.9444461
0.05 1.65 0.90281695 0.84783673 0.39313745 0.9215686274509803 1.0765632 0.9209819 1.0957413 1.0099112 0.47926873 1.0 1.0019381 0.9187696
0.05 3.5 0.902752 0.8479711 0.39296734 0.9215686274509803 1.0768503 0.92105913 1.0287356 1.0157855 0.48269862 0.9803921568627451 1.0492529 0.9795159
0.05 2.25 0.90278864 0.84798664 0.3932228 0.9215686274509803 1.076598 0.92098546 1.0323642 1.025775 0.46352476 1.0 1.0606982 0.9487226
0.05 2.3 0.9027991 0.8479867 0.39322487 0.9215686274509803 1.0765979 0.9209788 1.0260017 1.0260031 0.47705713 1.0 1.052239 0.935204
0.05 1.9 0.90283793 0.84787923 0.39315146 0.9215686274509803 1.0765603 0.9209339 1.0640314 1.0283073 0.48596147 1.0 1.0295056 0.94910926
0.05 0.55 0.90290016 0.8481971 0.39286968 0.9215686274509803 1.0761274 0.921057 1.9724106 1.8100121 0.54237604 0.9215686274509803 1.157955 0.9170849
0.05 2.2 0.90278286 0.847944 0.39321953 0.9215686274509803 1.0765948 0.9209658 1.0408245 1.0133535 0.4810838 1.0 1.0336716 0.9512582
0.05 0.6 0.90289885 0.8481975 0.3928661 0.9215686274509803 1.0761257 0.9210576 1.7973704 1.5578561 0.46488884 0.9019607843137255 1.1589361 0.91220415
0.05 1.7 0.90283704 0.847836 0.39318457 0.9215686274509803 1.0765574 0.9209556 1.0840555 1.006101 0.4778937 0.9803921568627451 1.0081733 0.929122
0.05 0.75 0.90289 0.84818995 0.39285365 0.9215686274509803 1.0761251 0.92106783 1.5734237 1.313044 0.44538662 0.9411764705882353 1.0459553 0.9195011
0.05 0.8 0.90290517 0.84821403 0.39286324 0.9215686274509803 1.0761205 0.9210494 1.4781667 1.246573 0.43884864 0.9607843137254902 1.0000936 0.9533413
0.05 2.05 0.9028628 0.8479403 0.39313865 0.9215686274509803 1.0765785 0.9209579 1.056655 1.0295451 0.4791264 1.0 1.0289558 0.93999004
