lengthscale l2regularizer bma_mean_rmse_mean bma_mean_rmse_median bma_mean_std bma_mean_cov bma_rmse_mean bma_rmse_median bma_std bma_cov bae_rmse_mean bae_rmse_median bae_std bae_cov
0.1 1.0 1.2071145 1.1176664 0.49549225 0.8823529411764706 1.188437 1.0805587 0.49221966 0.9019607843137255 2.8872654 3.1805844 0.94490224 0.9019607843137255
0.1 0.95 1.1934764 1.1046147 0.5204277 0.8823529411764706 1.1749791 1.0675015 0.5165259 0.8823529411764706 2.8775973 3.1578927 0.9208755 0.9019607843137255
0.15 0.15 0.98115474 0.8929045 0.46453512 0.8627450980392157 0.9582863 0.86641645 0.46696204 0.8627450980392157 2.0682693 2.0925097 0.7696148 0.9411764705882353
0.2 0.25 0.9238574 0.82684106 0.39628118 0.8627450980392157 0.908033 0.78635156 0.3919869 0.8627450980392157 2.3189023 2.4716494 0.9191763 0.9411764705882353
0.2 0.4 0.9043816 0.8114393 0.3877086 0.8627450980392157 0.8914865 0.7896755 0.38204077 0.8627450980392157 2.4575117 2.485097 0.8560179 0.9019607843137255
0.15 0.2 0.98323137 0.8452383 0.4419549 0.8823529411764706 0.96056783 0.8203788 0.44609278 0.8823529411764706 2.1128316 1.9980283 0.8178758 0.9411764705882353
0.15 0.25 1.0042622 0.84960246 0.46845388 0.8823529411764706 0.9867452 0.8297313 0.4662575 0.8823529411764706 2.2255504 2.0246093 0.84416527 0.9411764705882353
0.15 0.35 0.96843135 0.89840233 0.46382466 0.8823529411764706 0.9527354 0.8766453 0.4593165 0.8823529411764706 2.3227394 2.2785845 0.84675384 0.9411764705882353
0.05 0.5 1.1810939 0.9826294 0.67941934 0.8627450980392157 1.1570529 0.98719156 0.68591434 0.8627450980392157 2.956652 3.0503254 0.989379 0.9019607843137255
0.05 0.65 1.1927097 1.0022707 0.71488404 0.8431372549019608 1.1691542 1.0057522 0.7215038 0.9215686274509803 2.980863 3.0595837 0.91735023 0.9019607843137255
0.05 0.8 1.1567156 0.9608614 0.6527055 0.9019607843137255 1.1340096 0.96513003 0.6584619 0.9019607843137255 2.942171 3.112241 0.918679 0.9019607843137255
0.05 0.45 1.1944038 0.97470474 0.72740626 0.8627450980392157 1.1704443 0.98017025 0.7342327 0.8627450980392157 2.9145164 3.0511138 0.88185465 0.9019607843137255
0.05 0.25 1.169739 0.96342087 0.63858616 0.8431372549019608 1.1416705 0.92406017 0.6470107 0.8431372549019608 2.577985 2.6278596 0.83648384 0.9215686274509803
0.05 0.4 1.1807543 0.9391626 0.68557554 0.8431372549019608 1.1548501 0.94424057 0.69389457 0.8627450980392157 2.8471885 2.9254205 0.89202243 0.9019607843137255
0.1 0.05 1.0866493 0.9854804 0.47112086 0.8627450980392157 1.044488 0.9583416 0.47950593 0.9019607843137255 1.6042337 1.5345871 0.59451157 0.9411764705882353
0.05 0.6 1.1866033 0.9740604 0.70780563 0.8823529411764706 1.1627936 0.97736526 0.7146634 0.9215686274509803 2.958593 3.0475018 0.87605935 0.9019607843137255
0.05 0.35 1.1504741 0.969061 0.6861339 0.8823529411764706 1.1260468 0.97394055 0.6939512 0.8823529411764706 2.7545137 2.8835268 0.8729742 0.9019607843137255
