lengthscale l2regularizer rmse_mean rmse_median rmse_std pi_cov pi_sum nll_mean nll_median nll_std
0.20 0.50 2.344616 1.730466 1.812723 0.921569 47 1.340560 0.979185 0.983277
0.20 0.55 2.384255 1.741900 1.824166 0.921569 47 1.090507 0.990899 0.263667
0.20 0.60 2.399597 1.728365 1.886194 0.921569 47 1.229030 0.975441 0.696935
0.20 0.65 2.313886 1.485576 1.773819 0.941176 48 1.083385 0.989766 0.292374
0.20 0.70 2.492035 1.980060 2.079596 0.921569 47 1.032869 0.955557 0.213383
0.20 0.75 2.343797 1.692741 1.777188 0.921569 47 1.045708 0.933263 0.296246
0.20 0.80 2.572553 1.729655 1.867867 0.941176 48 1.019543 0.971725 0.166192
0.20 0.85 2.551578 1.922817 1.975677 0.921569 47 0.949610 0.857616 0.163077
0.20 0.90 2.267500 1.460173 1.559541 0.901961 46 1.096338 0.908504 0.413669
0.20 0.95 2.385111 1.896497 1.761416 0.941176 48 1.023192 0.867693 0.260897
0.20 1.00 2.243815 1.206856 1.985584 0.960784 49 1.026928 0.894026 0.306672
0.25 0.05 2.597673 2.131261 1.737827 0.921569 47 0.970520 0.876126 0.197897
0.25 0.10 2.559187 2.280773 1.612311 0.960784 49 1.077136 0.963654 0.299276
0.25 0.15 2.495779 2.052479 1.632665 0.921569 47 1.156118 0.957238 0.508524
0.25 0.20 2.559692 2.096016 1.886287 0.941176 48 1.005949 0.908523 0.210848
0.25 0.25 2.584682 2.191151 1.550972 0.941176 48 1.004668 0.858582 0.245442
0.25 0.30 2.627154 2.149144 1.931097 0.921569 47 1.002403 0.907462 0.200090
0.25 0.35 2.346137 1.900942 1.720683 0.960784 49 0.969822 0.917319 0.129634
0.25 0.40 2.777897 2.414967 1.935087 0.901961 46 1.033336 0.985031 0.213455
0.25 0.45 2.856834 2.435442 1.910993 0.901961 46 1.052974 1.009988 0.218170
0.25 0.50 2.826134 2.351390 1.867986 0.941176 48 1.059626 0.978464 0.216214
0.25 0.55 2.560169 2.085086 1.563953 0.941176 48 1.040713 0.959275 0.232211
0.25 0.60 2.373597 2.165674 1.598122 0.960784 49 0.983459 0.874835 0.215462
0.25 0.65 2.374917 2.053298 1.397789 0.960784 49 1.006562 0.874320 0.235926
0.25 0.70 2.431166 1.880695 1.703894 0.941176 48 1.016500 0.864642 0.257304
0.25 0.75 2.423836 1.776319 1.750606 0.941176 48 1.004870 0.903293 0.213387
0.25 0.80 2.124185 1.562654 1.467918 0.941176 48 1.194005 0.937723 0.741654
0.25 0.85 2.382139 1.645795 1.671233 0.980392 50 0.884591 0.832184 0.121908
0.25 0.90 2.323152 1.580008 1.783673 0.921569 47 1.053114 0.970573 0.241790
0.25 0.95 2.462091 2.223070 1.656263 0.941176 48 1.015882 0.996226 0.152088
0.25 1.00 2.286160 1.785130 1.662364 0.980392 50 0.939456 0.867965 0.178210
0.30 0.05 1.952460 1.603657 1.085827 0.941176 48 0.986345 0.900867 0.214547
0.30 0.10 2.035527 1.655470 1.182678 0.941176 48 1.082120 0.973108 0.271315
0.30 0.15 2.182918 2.007058 1.175919 0.941176 48 0.958003 0.887357 0.159265
0.30 0.20 2.102054 1.577506 1.363208 0.941176 48 0.979345 0.860341 0.175523
0.30 0.25 2.215915 2.027080 1.187503 0.901961 46 1.069452 1.007445 0.274252
0.30 0.30 2.080469 1.579309 1.312283 0.960784 49 0.956695 0.976062 0.103278
0.30 0.35 1.999322 1.530934 1.303886 0.960784 49 0.971147 0.884099 0.175085
0.30 0.40 1.999488 1.710971 1.112042 0.941176 48 1.016417 0.928943 0.222734
0.30 0.45 1.959023 1.451554 1.159777 0.980392 50 0.950849 0.871964 0.157735
0.30 0.50 1.739621 1.485536 0.890891 0.941176 48 0.938245 0.847192 0.157023
0.30 0.55 2.098687 1.377700 1.378112 0.960784 49 0.969887 0.865648 0.174270
0.30 0.60 1.659182 1.401093 0.892268 0.960784 49 0.950704 0.890638 0.157730
0.30 0.65 2.213374 1.929272 1.221432 0.960784 49 0.961961 0.877161 0.177986
0.30 0.70 2.042102 1.545658 1.248097 0.941176 48 0.990503 0.852938 0.239802
0.30 0.75 1.977105 1.778313 0.970338 0.941176 48 1.017102 0.948164 0.177238
0.30 0.80 2.105704 1.939036 1.128936 0.941176 48 0.998850 0.932840 0.190373
0.30 0.85 2.312091 2.036168 1.378118 0.941176 48 1.019324 0.904155 0.242235
0.30 0.90 1.728461 1.399753 0.945158 0.960784 49 1.006884 0.904723 0.247898
0.30 0.95 1.945624 1.449063 1.076381 0.941176 48 1.023889 0.867239 0.305416
0.30 1.00 1.992853 1.490788 1.261539 0.921569 47 1.001165 0.903499 0.234381
0.35 0.05 1.717971 1.430584 0.879463 0.921569 47 1.143931 1.066805 0.333363
0.35 0.10 1.510423 1.199402 0.851885 0.921569 47 1.158289 1.006673 0.406501
0.35 0.15 1.663262 1.360874 0.882014 0.901961 46 1.087204 1.069377 0.256441
0.35 0.20 1.876933 1.381270 1.117786 0.941176 48 1.081553 1.010514 0.301434
0.35 0.25 1.735965 1.336646 0.966560 0.901961 46 1.086958 1.026258 0.298254
0.35 0.30 1.716141 1.450946 0.874944 0.921569 47 1.147145 1.017104 0.383394
0.35 0.35 1.756485 1.458452 0.911932 0.921569 47 1.078523 0.991990 0.266527
0.35 0.40 1.618349 1.394659 0.849781 0.941176 48 1.166328 1.053469 0.396882
0.35 0.45 1.670330 1.285115 0.940970 0.882353 45 1.167575 0.978728 0.440362
0.35 0.50 1.728964 1.360887 0.893401 0.901961 46 1.176635 1.011934 0.436103
0.35 0.55 1.806458 1.173822 1.269077 0.941176 48 1.171227 1.057426 0.414322
0.35 0.60 1.749593 1.472077 0.902518 0.901961 46 1.053851 1.023893 0.237325
0.35 0.65 1.693960 1.441153 0.854707 0.921569 47 1.072040 0.992111 0.277524
0.35 0.70 1.551497 1.295283 0.851081 0.921569 47 1.138161 1.100226 0.320850
0.35 0.75 1.552838 1.205640 0.856081 0.921569 47 1.181835 1.014576 0.446834
0.35 0.80 1.662899 1.486627 0.800478 0.901961 46 1.133082 1.083616 0.409177
0.35 0.85 1.812547 1.485171 1.032228 0.921569 47 1.178313 1.024884 0.429319
0.35 0.90 1.725138 1.651944 0.897060 0.901961 46 1.147811 1.069300 0.381073
0.35 0.95 1.594882 1.290435 0.847235 0.921569 47 1.183220 1.104197 0.404391
0.35 1.00 1.614799 1.375937 0.797956 0.941176 48 1.153168 1.036066 0.387381
0.40 0.05 1.613675 1.516412 0.827035 0.921569 47 1.267170 1.247897 0.601030
0.40 0.10 1.527043 1.521191 0.726212 0.941176 48 1.297731 1.268635 0.581879
0.40 0.15 1.553218 1.570132 0.713783 0.901961 46 1.285119 1.290570 0.588539
0.40 0.20 1.540353 1.557330 0.727253 0.941176 48 1.336193 1.287105 0.639710
0.40 0.25 1.500385 1.520291 0.688022 0.921569 47 1.343133 1.280169 0.648980
0.40 0.30 1.582786 1.570203 0.780005 0.921569 47 1.329962 1.277160 0.666880
0.40 0.35 1.548378 1.570534 0.683427 0.901961 46 1.275913 1.209273 0.596134
0.40 0.40 1.518080 1.582415 0.726329 0.941176 48 1.319972 1.222163 0.644410
0.40 0.45 1.712509 1.539430 0.954557 0.941176 48 1.273321 1.247928 0.581497
0.40 0.50 1.557413 1.492863 0.736015 0.901961 46 1.276330 1.255685 0.593132
0.40 0.55 1.573176 1.542127 0.738406 0.941176 48 1.308074 1.293040 0.593229
0.40 0.60 1.620132 1.486212 0.941836 0.960784 49 1.363449 1.273214 0.672503
0.40 0.65 1.453714 1.555274 0.675282 0.882353 45 1.312742 1.250865 0.667792
