lengthscale l2regularizer bne_rmse_mean bne_rmse_median bne_std bne_cov nll_bne_mean nll_bne_median
0.1 2.25 1.2879909 1.1616213 0.3932113 0.9411764705882353 1.1030228 1.1056924
0.1 1.8 1.377788 1.2375835 0.45338774 0.9607843137254902 1.0139638 1.0207667
0.2 0.05 14.592038 5.651416 16.380941 0.8823529411764706 1.477409 0.94150984
0.2 0.3 4.69665 3.949758 2.691541 0.7058823529411765 2.7240028 1.14228324
0.1 1.9 1.3358592 1.2197845 0.4032542 0.9411764705882353 1.0452403 1.091864
0.1 4.25 1.120413 1.0510184 0.33629254 0.9411764705882353 1.23471 0.98454
0.1 1.1 1.6969486 1.6788092 0.5905278 0.9607843137254902 1.022962 0.9884109
0.1 4.0 1.1400174 1.0757003 0.34071952 0.9411764705882353 1.2305692 0.9703233
0.2 2.25 1.5980722 1.4479003 0.594068 0.8235294117647058 2.0818174 1.3937027
0.1 1.7 1.3638829 1.2826242 0.42076632 0.9215686274509803 1.0877076 1.0696325
0.1 2.5 1.2469459 1.1414294 0.37895447 0.9411764705882353 1.0799559 1.0611732
0.2 2.5 1.5491759 1.3796268 0.6127338 0.8431372549019608 1.8067964 1.4245436
0.2 2.75 1.5021116 1.3289778 0.6063819 0.8431372549019608 1.6898693 1.4508641
0.1 1.6 1.430312 1.3421426 0.53347117 0.9411764705882353 1.0206695 1.0020654
0.2 0.1 17.415625 5.479649 24.457945 0.8627450980392157 1.6770849 1.1172091
0.1 3.75 1.1458682 1.0904603 0.3317959 0.9607843137254902 1.2117041 1.0031114
0.1 2.0 1.3625344 1.2937059 0.42011404 0.9607843137254902 1.0724813 1.0913199
0.2 1.1 2.350293 2.2904768 0.64123297 0.6666666666666666 4.0423036 1.3437792
0.1 1.4 1.5069054 1.4422274 0.5303596 0.9411764705882353 1.1256667 1.0951099
0.2 0.7 3.286391 3.1202178 1.3713405 0.7254901960784313 2.7045648 1.199321
0.2 0.4 5.328319 3.430598 4.294242 0.803921568627451 1.8990854 1.0644875
0.1 5.0 1.1025971 1.0137118 0.33235696 0.9215686274509803 1.2987682 1.0065333
0.2 0.8 2.6967366 2.401432 1.1116738 0.6862745098039216 3.0662928 1.1719348
0.1 4.5 1.1118084 1.0421486 0.32964805 0.9411764705882353 1.2746233 0.9936134
0.2 0.5 4.4101415 3.4957871 2.6130936 0.8431372549019608 2.074175 1.186762
0.2 0.9 2.9456618 2.787941 1.1175379 0.6862745098039216 3.124754 1.248953
0.1 4.75 1.1085421 1.0339975 0.32879767 0.9411764705882353 1.2804722 1.0079527
0.2 1.3 2.0691955 1.9396842 0.52475876 0.7058823529411765 4.8634143 1.4721999
0.2 1.2 2.1989868 1.9929138 0.6371569 0.6666666666666666 5.10894 1.3341305
0.2 3.0 1.4661397 1.2816355 0.5972196 0.8431372549019608 1.5488664 1.4300725
0.2 0.6 3.8716452 3.2240934 1.9609953 0.7450980392156863 2.5624418 1.122961
0.2 1.0 2.7356327 2.7321262 0.91051036 0.6666666666666666 3.6715457 1.311959
0.3 1.8 1.2729789 1.162804 0.39464688 0.8431372549019608 1.4842869 1.1947105
0.3 1.9 1.2612218 1.1473825 0.38321745 0.8431372549019608 1.5034853 1.184046
0.2 1.4 1.9748703 1.9049183 0.5235289 0.7058823529411765 4.4754014 1.4768252
0.3 1.6 1.3233021 1.2335682 0.44031978 0.8627450980392157 1.4824182 1.2407278
0.3 1.7 1.2982372 1.2044909 0.4238659 0.8627450980392157 1.4628803 1.2558017
0.2 1.7 1.791109 1.6520078 0.5329825 0.7254901960784313 3.7894392 1.4860065
0.2 1.9 1.695488 1.5134346 0.5678435 0.7058823529411765 2.8153677 1.4053273
0.2 1.6 1.8302088 1.7085543 0.52055806 0.7254901960784313 4.1297355 1.4895892
0.3 2.0 1.2293824 1.1321912 0.34871277 0.8627450980392157 1.4323541 1.119591
0.2 2.0 1.6658163 1.5027344 0.580283 0.7254901960784313 2.8313324 1.4001377
0.2 1.5 1.9103504 1.8753037 0.51389986 0.7058823529411765 4.523683 1.5058956
0.2 1.8 1.7282044 1.5703459 0.5407005 0.7058823529411765 3.3397515 1.4679427
0.3 3.75 1.0207676 0.854152 0.33253896 0.9019607843137255 1.2102767 0.9248686
0.3 4.25 1.0000881 0.82266927 0.34585497 0.9019607843137255 1.1533014 0.92007375
0.3 2.75 1.0958697 0.97018534 0.30988804 0.9215686274509803 1.3055 0.9746448
0.3 1.5 1.3444017 1.228062 0.46578088 0.8431372549019608 1.5410494 1.3011317
0.2 3.5 1.3843442 1.1877459 0.5671405 0.8823529411764706 1.4139156 1.3869572
0.2 3.75 1.3534122 1.1660104 0.54332024 0.8823529411764706 1.3789753 1.3712931
0.3 0.5 1.6896335 1.4633181 0.67778707 0.7058823529411765 3.1786373 1.6542606
0.3 0.05 1.7963343 1.4833478 0.80294377 0.6470588235294118 3.354102 1.7171369
0.3 4.75 0.98477894 0.80381817 0.34922025 0.9215686274509803 1.1436018 0.91606
0.3 0.9 1.5006043 1.3546181 0.6572926 0.8627450980392157 1.7284678 1.5057168
0.2 4.0 1.3240358 1.1294856 0.529036 0.8823529411764706 1.3429579 1.340802
0.3 0.6 1.6007977 1.3919694 0.6747919 0.7450980392156863 2.6472247 1.6203778
0.3 2.25 1.1681619 1.0593994 0.31366295 0.9019607843137255 1.390224 1.0295728
