lengthscale l2regularizer rmse_mean rmse_median rmse_std pi_cov pi_sum nll_mean nll_median nll_std
0.3 1.0 1.9928532 1.490788 1.2615387 0.9215686274509803 47 1.0011654 0.9034994 0.23438098
0.4 0.25 1.500385 1.5202909 0.6880225 0.9215686274509803 47 1.3431331 1.2801695 0.6489801
0.1 0.15 4.1898093 3.915 2.4250934 0.9019607843137255 46 1.0930654 0.86727154 0.4383423
0.45 0.8 1.256897 1.2736948 0.5907234 0.9215686274509803 47 1.211868 1.2581531 0.37275824
0.45 0.95 1.2481129 1.2748898 0.59886676 0.9215686274509803 47 1.1657264 1.202878 0.2984363
0.4 1.0 1.6329638 1.5878617 0.8854375 0.9215686274509803 47 1.3439198 1.2590272 0.66440195
0.6 0.35 1.1114824 0.9671668 0.5504281 0.9803921568627451 50 1.009513 1.0092387 0.15285206
0.1 0.6 4.02653 3.4988322 2.2151797 0.9019607843137255 46 1.1442425 0.9737675 0.4478527
0.1 0.55 4.228966 3.6286306 2.1151826 0.8627450980392157 44 1.1132418 1.0067992 0.39930648
0.1 0.65 4.0394516 3.9000125 1.9415475 0.8627450980392157 44 1.1250085 0.9949449 0.41279134
0.4 0.7 1.4977391 1.5919975 0.692399 0.9019607843137255 46 1.3139218 1.2782545 0.6219155
0.6 0.4 1.100261 1.0084832 0.54316705 0.9803921568627451 50 0.998701 0.9980719 0.15166505
0.6 0.45 1.100572 0.9753111 0.5399908 0.9803921568627451 50 1.017792 1.0303783 0.15494266
0.05 0.65 5.2119 5.500519 1.0546186 0.9215686274509803 47 1.2807573 1.1063256 0.46098125
0.3 0.9 1.7284613 1.3997533 0.9451577 0.9607843137254902 49 1.0068843 0.9047234 0.24789815
0.8 0.25 1.0938238 1.0558212 0.40318155 1.0 51 1.0102448 0.9788072 0.1516929
0.8 0.2 1.0891525 1.0511253 0.40643045 1.0 51 1.0083286 0.9784883 0.1590356
0.8 0.15 1.0897988 1.061753 0.41032246 0.9803921568627451 50 1.0105963 0.9783217 0.15616032
0.45 0.3 1.2648013 1.326533 0.59360397 0.9215686274509803 47 1.2167432 1.2651479 0.35504726
0.65 0.5 1.1042414 0.9971818 0.503624 0.9803921568627451 50 1.0066936 1.0127127 0.14537686
0.65 0.7 1.082942 1.0527716 0.4863799 0.9803921568627451 50 1.0109046 0.9877404 0.15351975
0.5 0.85 1.1080006 1.0287569 0.5597306 0.9411764705882353 48 1.0762477 1.0844324 0.18913399
0.35 0.85 1.812547 1.4851713 1.0322279 0.9215686274509803 47 1.1783131 1.0248845 0.42931893
0.35 1.0 1.6147991 1.3759366 0.79795605 0.9411764705882353 48 1.153168 1.0360664 0.38738078
0.5 0.4 1.1354743 1.0860851 0.55291605 0.9411764705882353 48 1.0521665 1.0874441 0.16982484
0.5 0.35 1.1063261 1.0023084 0.5632263 0.9411764705882353 48 1.0591108 1.0856655 0.17482588
0.1 0.7 4.1929226 4.444086 2.180097 0.8627450980392157 44 1.1341107 0.9376322 0.48453858
0.55 0.6 1.1132652 1.0067612 0.5490091 0.9803921568627451 50 1.0040288 1.0229105 0.13495952
0.3 0.2 2.1020544 1.5775056 1.3632082 0.9411764705882353 48 0.97934496 0.8603407 0.17552322
0.45 0.2 1.2893386 1.3709989 0.6089772 0.9215686274509803 47 1.1541448 1.1884851 0.29537466
0.5 0.95 1.1141204 1.0102074 0.5613188 0.9411764705882353 48 1.0415214 1.0346569 0.1695117
0.6 0.3 1.0807072 0.99369574 0.523835 0.9803921568627451 50 1.0024279 0.99788034 0.15584338
0.6 0.25 1.0958462 0.9967556 0.52840674 0.9803921568627451 50 0.9977206 0.9903834 0.14566499
