lengthscale l2regularizer bma_mean_rmse_mean bma_mean_rmse_median bma_mean_std bma_mean_cov bma_rmse_mean bma_rmse_median bma_std bma_cov bae_rmse_mean bae_rmse_median bae_std bae_cov
0.1 0.55 1.4014436 1.1735771 0.6557905 0.8627450980392157 1.3934635 1.1696589 0.6605937 0.8627450980392157 2.9826136 2.488937 0.9170772 0.8431372549019608
0.1 0.45 1.3605016 1.2350677 0.6259797 0.8627450980392157 1.3520598 1.2311348 0.6320748 0.8627450980392157 2.8013546 2.2995396 1.0354321 0.8627450980392157
0.1 0.7 1.3864083 1.2061331 0.6065105 0.8627450980392157 1.3793024 1.2063394 0.61140776 0.8627450980392157 3.0911837 2.541637 0.9260855 0.8431372549019608
0.1 0.4 1.3726393 1.2144215 0.6436179 0.8235294117647058 1.364371 1.2120554 0.6505506 0.8431372549019608 2.8180072 2.2621746 0.97098947 0.8627450980392157
0.05 0.95 1.3010653 1.334316 0.7076583 0.8823529411764706 1.2945875 1.3326108 0.7145255 0.8823529411764706 3.0338628 2.6199126 1.2324722 0.8823529411764706
0.1 0.75 1.3771895 1.2030534 0.63038194 0.8627450980392157 1.3697997 1.2064208 0.6357503 0.8627450980392157 3.049 2.649127 0.86010766 0.8235294117647058
0.1 0.65 1.3748981 1.236106 0.6833119 0.8431372549019608 1.3677803 1.233067 0.688919 0.8431372549019608 3.00648 2.399672 0.98949736 0.8431372549019608
0.05 0.05 1.2088016 1.257117 0.591021 0.8823529411764706 1.1986694 1.2544212 0.60250914 0.9019607843137255 2.082037 1.9091347 0.8879375 0.8627450980392157
0.05 0.5 1.2704443 1.2728086 0.66797936 0.9019607843137255 1.2637898 1.2705605 0.6759999 0.9019607843137255 2.9022293 2.4673357 1.1044112 0.8823529411764706
0.05 0.4 1.2693179 1.28584 0.7059014 0.9019607843137255 1.2624787 1.2843235 0.71412796 0.9215686274509803 2.879801 2.4338515 1.1318252 0.8823529411764706
0.05 0.55 1.2649988 1.285963 0.6709685 0.9019607843137255 1.2583712 1.2845287 0.67910373 0.9019607843137255 2.9369886 2.467258 1.1151817 0.8823529411764706
0.05 0.25 1.2597791 1.2229447 0.71118015 0.8823529411764706 1.2540411 1.2147146 0.7201642 0.8823529411764706 2.5868874 1.940301 1.2939571 0.9215686274509803
0.05 0.7 1.2709731 1.3177565 0.69097066 0.9019607843137255 1.2649325 1.3158746 0.6977453 0.9019607843137255 2.9077098 2.479248 1.1667967 0.9019607843137255
0.1 0.2 1.3046361 1.2311994 0.6689605 0.8823529411764706 1.2972977 1.229491 0.6757259 0.8627450980392157 2.335086 1.9183435 0.80282545 0.8627450980392157
0.05 0.6 1.284721 1.361669 0.70874065 0.8823529411764706 1.2774054 1.3588549 0.7171141 0.8823529411764706 2.9452221 2.501255 1.148836 0.8627450980392157
0.2 0.55 1.2127147 1.1137221 0.5521964 0.8823529411764706 1.2057617 1.1061311 0.5590607 0.9019607843137255 2.8593502 2.6310132 0.7763172 0.8627450980392157
0.05 0.1 1.2192272 1.2686567 0.62267953 0.9215686274509803 1.2119534 1.2594428 0.63285947 0.9215686274509803 2.0004544 1.7056606 0.7529375 0.8431372549019608
0.05 0.45 1.2702934 1.3199936 0.6929228 0.9019607843137255 1.2634625 1.3181307 0.70087546 0.9019607843137255 2.833739 2.3666844 1.1395632 0.8823529411764706
0.05 0.2 1.2921516 1.3231692 0.72106546 0.9019607843137255 1.2845978 1.31611 0.7324655 0.9019607843137255 2.42179 1.9186034 0.9065383 0.9019607843137255
0.2 0.6 1.2095538 1.1219313 0.48419648 0.9019607843137255 1.2028255 1.1144248 0.490823 0.9019607843137255 2.8732538 2.6749024 0.8115009 0.8627450980392157
0.05 0.3 1.296184 1.2927873 0.76243365 0.9215686274509803 1.2894118 1.2922425 0.7720619 0.9019607843137255 2.7274246 2.2763395 1.1120867 0.8627450980392157
0.2 0.65 1.2253895 1.115115 0.509686 0.9019607843137255 1.2186062 1.1071461 0.5166126 0.9019607843137255 2.9341958 2.686995 0.78954947 0.8431372549019608
0.45 0.15 0.9918144 0.99334145 0.34325892 0.8823529411764706 0.98880285 0.98226196 0.35343376 0.8823529411764706 2.269064 1.8874836 0.7729018 0.9019607843137255
0.45 0.7 1.1505457 1.128892 0.34746602 0.8823529411764706 1.1454705 1.1264654 0.35763267 0.8823529411764706 2.865627 2.6053052 0.75966346 0.9019607843137255
0.05 0.65 1.2929207 1.316873 0.7303398 0.8823529411764706 1.2866938 1.3064222 0.7374754 0.8823529411764706 2.8956757 2.4547184 1.2340872 0.9019607843137255
