lengthscale l2regularizer bae_rmse_mean bae_rmse_median bae_std bae_cov nll_bae_mean nll_bae_median
0.1 3.7 1.4111732 1.2233968 0.5397537 0.9411764705882353 1.1840992 1.1917107
0.1 3.0 1.484251 1.274517 0.60992575 0.9411764705882353 1.154416 1.1136651
0.1 3.1 1.4742678 1.2626979 0.6105314 0.9411764705882353 1.151003 1.0981382
0.1 3.15 1.4693633 1.2558541 0.60317093 0.9411764705882353 1.1531173 1.1015689
0.1 3.45 1.4346484 1.2299016 0.56350905 0.9411764705882353 1.1646539 1.1519775
0.1 3.25 1.4542761 1.2416986 0.58673656 0.9411764705882353 1.1559656 1.1188916
0.1 3.5 1.4288677 1.2275963 0.5646352 0.9411764705882353 1.1634842 1.1547788
0.1 3.4 1.4484853 1.235804 0.58575374 0.9411764705882353 1.1649901 1.1345508
0.1 3.65 1.4160385 1.2231454 0.5457918 0.9411764705882353 1.1821882 1.1916254
0.1 4.15 1.3676023 1.196423 0.5133461 0.9607843137254902 1.1985947 1.1817516
0.1 4.0 1.3874955 1.2155108 0.5229307 0.9411764705882353 1.1957012 1.1865448
0.1 3.6 1.4214574 1.2291417 0.55544937 0.9411764705882353 1.1788176 1.1772277
0.1 3.55 1.4200629 1.2291785 0.56070596 0.9411764705882353 1.1632816 1.1459271
0.1 3.8 1.3968167 1.2037393 0.5429375 0.9411764705882353 1.1785191 1.1924324
0.1 4.3 1.3550819 1.1950808 0.5060902 0.9607843137254902 1.1860312 1.1639495
0.1 3.75 1.4040936 1.2202663 0.53440833 0.9411764705882353 1.1785502 1.1939907
0.1 4.1 1.3719221 1.1928949 0.5241477 0.9411764705882353 1.1861777 1.1573503
0.1 3.85 1.3934679 1.2072747 0.5289112 0.9411764705882353 1.1793884 1.1807785
0.1 4.05 1.3805295 1.2112374 0.5205436 0.9411764705882353 1.1870108 1.1920552
0.1 3.95 1.3883057 1.2021184 0.5262742 0.9411764705882353 1.1867399 1.1596938
0.1 3.9 1.3892651 1.2120452 0.53296316 0.9411764705882353 1.1824154 1.1847854
0.15 0.85 3.9549255 3.1875095 2.549009 0.7843137254901961 3.2866518 1.2387811
0.1 4.25 1.3597404 1.1787037 0.5158496 0.9607843137254902 1.1873262 1.1544902
0.1 4.45 1.3374647 1.1843837 0.5021848 0.9607843137254902 1.1813494 1.155144
0.1 4.5 1.331524 1.1743695 0.50028956 0.9607843137254902 1.181715 1.1440649
0.1 4.55 1.3309517 1.1779121 0.50447434 0.9607843137254902 1.1874703 1.1529032
0.1 4.2 1.3636433 1.1909049 0.51846915 0.9607843137254902 1.1848972 1.1677915
0.15 0.6 4.8721833 3.8291292 2.8986926 0.7647058823529411 3.3832493 1.2717786
0.1 4.75 1.3126708 1.1656632 0.49479553 0.9607843137254902 1.1794106 1.1270914
0.1 4.65 1.3248839 1.1824038 0.49736804 0.9607843137254902 1.1844174 1.143
0.15 0.1 6.3790565 4.9589305 3.893389 0.803921568627451 3.4921653 1.3712573
0.1 4.7 1.320304 1.173223 0.4935749 0.9607843137254902 1.1844002 1.1480939
0.1 4.6 1.3294271 1.17501 0.49584764 0.9607843137254902 1.1804643 1.1451813
0.1 4.8 1.3146042 1.1725614 0.48902366 0.9607843137254902 1.1848186 1.1456916
0.1 4.85 1.311733 1.1723857 0.48708963 0.9607843137254902 1.1856759 1.1459062
0.1 4.4 1.3453377 1.1924331 0.5049795 0.9607843137254902 1.1835568 1.1579173
0.15 0.15 6.1587563 5.0778003 3.286917 0.803921568627451 3.497986 1.424182
0.1 5.0 1.2978295 1.1671946 0.48289457 0.9607843137254902 1.1842209 1.1230763
0.15 0.05 6.488688 4.877436 4.097482 0.803921568627451 3.511092 1.3776753
0.15 0.75 4.2581196 3.462142 2.5369208 0.7647058823529411 3.2134526 1.2605648
