lengthscale l2regularizer bne_rmse_mean bne_rmse_median bne_std bne_cov nll_bne_mean nll_bne_median
0.1 5.0 59.71748 50.902504 37.94475 0.7843137254901961 2.3295405 1.9904151
0.1 4.5 66.292625 57.070305 41.5387 0.7843137254901961 2.100053 1.7414525
0.2 2.25 7.227392 3.0620866 8.874124 0.8627450980392157 1.4516311 1.3018441
0.1 0.8 988.33203 902.317 683.00696 0.7647058823529411 1.633176 1.4900476
0.2 0.5 16.389803 2.1346042 27.994446 0.9019607843137255 1.1858759 0.9555824
0.2 0.4 12.816991 1.2738912 23.985033 0.9215686274509803 1.2960972 1.2404351
0.2 2.5 8.05791 3.0708456 9.735126 0.8627450980392157 1.4165574 1.3913047
0.2 2.75 8.436556 3.6383095 10.164248 0.8627450980392157 1.4108523 1.3602719
0.1 1.1 581.9597 500.48132 378.26678 0.8431372549019608 1.49732 1.487962
0.2 1.7 24.22087 2.4668987 45.663525 0.8823529411764706 1.2772443 1.2119379
0.3 3.25 2.9137113 1.4221301 3.4547658 0.8823529411764706 1.2378966 0.9547145
0.2 1.8 12.336663 1.4017583 21.730482 0.9019607843137255 1.3860925 1.3519182
0.2 1.6 9.5144 2.3204184 13.383399 0.8823529411764706 1.351364 1.1582448
0.2 2.0 10.921409 2.4639168 16.170446 0.8627450980392157 1.3400478 1.1474886
0.3 4.5 2.510749 1.447102 2.4247787 0.8823529411764706 1.4068564 1.189043
0.3 5.0 2.441584 1.5308778 2.146379 0.8627450980392157 1.4804281 1.2269762
0.2 4.0 6.2337937 3.8195524 5.8960743 0.8823529411764706 1.6400331 1.6453934
0.3 0.2 10.648003 1.1928412 21.280062 0.7254901960784313 3.5879571 0.973058
0.2 3.25 7.5742373 3.3156347 9.389147 0.9019607843137255 1.4661161 1.5209582
0.2 1.9 11.6036415 2.015064 16.580639 0.8823529411764706 1.2346605 1.1519486
0.4 1.3 3.3905675 0.8366843 5.546123 0.8823529411764706 1.5624169 1.0855131
0.4 1.4 4.316405 0.807979 7.68105 0.8823529411764706 1.2626462 1.0001062
0.2 1.5 15.069102 3.2698903 25.74867 0.8823529411764706 1.3524961 1.3139875
0.3 1.0 5.8386483 1.3525848 8.525363 0.7647058823529411 1.9599676 0.92647004
0.3 0.9 16.896261 1.3573723 35.106197 0.7254901960784313 3.0800955 0.9694401
0.3 1.3 6.352041 1.2602592 11.51948 0.8431372549019608 1.504872 1.0816873
0.2 3.75 7.1541424 3.2592611 8.075956 0.8823529411764706 1.5342908 1.6014788
0.3 1.4 4.337463 1.210906 7.082866 0.8235294117647058 1.6495123 1.0518416
0.3 2.0 3.9711602 1.3643451 5.356069 0.8823529411764706 1.1048632 0.92146146
0.3 1.2 5.5711823 1.2199962 9.829425 0.803921568627451 1.6997658 0.9575775
0.2 5.0 6.4326806 3.4164355 6.4142833 0.9019607843137255 1.703345 1.7718103
0.4 0.05 11.056163 1.0513344 22.465456 0.7254901960784313 2.8882258 1.2774779
0.3 1.7 3.2381563 1.2612578 4.62489 0.8627450980392157 1.1824547 0.9274442
0.3 1.9 3.213032 1.2422533 4.565508 0.9411764705882353 1.1042142 0.9030588
0.3 4.25 2.5011866 1.3834803 2.5238307 0.8823529411764706 1.382585 1.1287235
0.2 4.5 6.53501 3.38987 6.8260174 0.9019607843137255 1.6425732 1.7081618
0.4 0.1 24.113321 1.0686923 51.67698 0.7058823529411765 3.3882349 1.0995517
0.3 0.05 8.034598 1.2079383 15.490365 0.7254901960784313 3.5035772 0.9803539
0.3 3.75 2.6586313 1.4256104 2.6819649 0.8823529411764706 1.3678783 1.1345259
0.4 1.6 3.1886187 0.7992421 5.163359 0.9215686274509803 1.2165169 0.9843213
0.3 1.8 3.5480816 1.1609554 5.39987 0.8823529411764706 1.1304673 0.8907682
0.1 1.2 508.2324 386.16034 345.36105 0.8431372549019608 1.5334606 1.4992793
0.3 4.0 2.4913127 1.4868178 2.476445 0.8627450980392157 1.3882564 1.1100106
0.2 4.75 6.51415 3.1568089 6.9194064 0.9019607843137255 1.6614066 1.7189863
0.3 0.7 6.1688457 1.2674661 10.955147 0.7450980392156863 2.575773 1.033202
0.2 3.5 6.815658 2.8140445 7.4655657 0.8627450980392157 1.5588326 1.545886
0.3 2.5 3.358578 1.4937204 3.7988248 0.8823529411764706 1.1642922 0.93520844
0.4 1.5 3.8547313 0.8171973 6.6136465 0.8627450980392157 1.308264 0.9598985
0.3 0.5 9.560176 1.2167172 18.716007 0.803921568627451 2.014448 1.0093747
0.2 4.25 7.080815 3.5996318 7.7092986 0.9019607843137255 1.5919889 1.6308208
0.2 1.4 25.322165 1.8536564 51.80364 0.8627450980392157 1.3080095 1.2913457
