lengthscale l2regularizer rmse_mean rmse_median rmse_std pi_cov pi_sum nll_mean nll_median nll_std
0.20 0.50 1.986426 1.615321 1.131749 0.921569 47 1.083924 0.920424 0.378466
0.20 0.55 1.865841 1.620494 1.155467 0.960784 49 1.073582 1.059123 0.245516
0.20 0.60 2.119750 1.466307 1.469421 0.960784 49 0.943408 0.877424 0.154318
0.20 0.65 2.078183 2.147378 0.959410 0.941176 48 1.096436 1.060759 0.256957
0.20 0.70 1.725886 1.517978 0.761147 0.960784 49 1.017376 0.872752 0.340287
0.20 0.75 1.968489 1.425926 1.517346 0.941176 48 0.971131 0.883822 0.220557
0.20 0.80 1.665043 1.253142 0.883184 0.941176 48 1.064002 0.835113 0.425874
0.20 0.85 1.905946 1.705546 1.163455 0.980392 50 1.051643 0.975600 0.216406
0.20 0.90 1.708418 1.424333 0.860297 0.921569 47 1.018084 0.890773 0.300843
0.20 0.95 1.702792 1.529664 0.837642 0.901961 46 1.098127 1.036853 0.253911
0.20 1.00 1.788806 1.363487 0.906350 0.921569 47 1.036722 0.970181 0.301358
0.25 0.05 2.147526 2.177571 1.320198 0.941176 48 1.078502 1.037058 0.306973
0.25 0.10 1.934993 1.849487 1.161775 0.960784 49 0.953045 0.876679 0.189736
0.25 0.15 1.943240 1.822252 1.135592 0.980392 50 0.931984 0.859666 0.160680
0.25 0.20 2.006785 1.553009 1.384902 0.960784 49 1.053931 1.028579 0.253812
0.25 0.25 1.770203 1.565376 0.919397 0.921569 47 1.111004 0.930415 0.428942
0.25 0.30 1.535302 1.310673 0.987584 0.980392 50 1.007907 0.938125 0.196716
0.25 0.35 1.782121 1.674794 0.898814 0.960784 49 0.928078 0.838885 0.209845
0.25 0.40 1.781055 1.521939 1.097252 0.960784 49 1.061851 0.989248 0.216358
0.25 0.45 1.900080 1.845314 1.004382 0.921569 47 1.076704 1.021746 0.235086
0.25 0.50 1.747014 1.386598 0.930269 0.980392 50 1.047880 0.904578 0.301430
0.25 0.55 1.791178 1.576378 1.092357 0.941176 48 1.061803 1.004685 0.251567
0.25 0.60 1.805033 1.587943 1.151397 0.941176 48 1.125529 1.101835 0.288570
0.25 0.65 1.638156 1.426418 0.841184 0.941176 48 1.057004 0.954421 0.224689
